date_downloaded,TDU_service_territory,supplier_name,plan_id,incumbent_flag,plan_order_rank,contract_term_1,contract_term_2,early_termination_fee,enrollment_fee,percent_renewable,rate_type,variable_rate_1,variable_rate_2,fixed_charge,additional_incentives,enroll_online,new_customer_only,estimated_monthly_cost,estimated_savings
2020-03-24,UIResidentialCustomers,UIResidentialCustomers,54649,True,0,,,0.00,0.00,0.29,Fixed,0.1056,,0.00,"Fixed until June 30, 2020.",False,False,79.20,0.00
2020-03-24,UIResidentialCustomers,Town Square Energy,118246,False,1,8,,0.00,0.00,0.29,Fixed,0.0727,,0.00,,False,False,54.53,24.68
2020-03-24,UIResidentialCustomers,"Clearview Electric, Inc.",118366,False,2,6,,50.00,0.00,1.00,Fixed,0.0729,,0.00,,True,False,54.68,24.53
2020-03-24,UIResidentialCustomers,"Public Power, LLC (EA)",118176,False,3,9,,0.00,0.00,0.29,Fixed,0.0729,,0.00,,True,True,54.68,24.53
2020-03-24,UIResidentialCustomers,"Clearview Electric, Inc.",117541,False,4,9,,50.00,0.00,1.00,Fixed,0.0739,,0.00,,True,False,55.43,23.78
2020-03-24,UIResidentialCustomers,"Starion Energy, Inc.",117596,False,5,9,,0.00,0.00,0.29,Fixed,0.0739,,0.00,,False,True,55.43,23.78
2020-03-24,UIResidentialCustomers,Sunwave Gas &amp; Power,118461,False,6,6,,50.00,0.00,0.29,Fixed,0.0744,,0.00,Offer designed for customers with 60% Load Factor energy consumption or better. Requires usage review and supplier approval. Contact supplier for details and information regarding cancellation fee.,False,False,55.82,23.39
2020-03-24,UIResidentialCustomers,"Public Power, LLC (EA)",118186,False,7,9,,0.00,0.00,0.29,Fixed,0.0349,,30.00,"Monthly Capacity Fee is fixed for the term of the offer and billed separately by the supplier. Estimated annual usage must not exceed 30,000 kWh.",True,True,26.18,23.03
2020-03-24,UIResidentialCustomers,"Public Power, LLC (EA)",118181,False,8,9,,0.00,0.00,0.29,Fixed,0.0579,,12.95,"Monthly Capacity Fee is fixed for the term of the offer and billed separately by the supplier. Estimated annual usage must not exceed 30,000 kWh.",True,True,43.43,22.83
2020-03-24,UIResidentialCustomers,"Verde Energy USA, Inc.",118406,False,9,6,,0.00,0.00,1.00,Fixed,0.0769,,0.00,,True,True,57.68,21.53
2020-03-24,UIResidentialCustomers,"Public Power, LLC",117936,False,10,4,,50.00,0.00,0.29,Fixed,0.0770,,0.00,,False,False,57.75,21.46
2020-03-24,UIResidentialCustomers,Direct Energy,117646,False,11,8,,0.00,0.00,0.29,Fixed,0.0779,,0.00,,True,True,58.43,20.78
2020-03-24,UIResidentialCustomers,Town Square Energy,118666,False,12,36,,50.00,0.00,0.29,Fixed,0.0799,,0.00,,False,False,59.93,19.28
2020-03-24,UIResidentialCustomers,"Liberty Power Holdings, LLC",118586,False,13,36,,50.00,0.00,0.29,Fixed,0.0808,,0.00,,True,False,60.60,18.61
