date_downloaded,TDU_service_territory,supplier_name,plan_id,incumbent_flag,plan_order_rank,contract_term_1,contract_term_2,early_termination_fee,enrollment_fee,percent_renewable,rate_type,variable_rate_1,variable_rate_2,fixed_charge,additional_incentives,enroll_online,new_customer_only,estimated_monthly_cost,estimated_savings
2020-03-24,Eversource,Eversource,54645,True,0,,,0.00,0.00,0.29,Fixed,0.0941,,0.00,"Fixed until June 30, 2020.",False,False,70.61,0.00
2020-03-24,Eversource,Town Square Energy,118241,False,1,8,,0.00,0.00,0.29,Fixed,0.0707,,0.00,,False,False,53.03,17.58
2020-03-24,Eversource,"Clearview Electric, Inc.",118361,False,2,6,,50.00,0.00,1.00,Fixed,0.0709,,0.00,,True,False,53.18,17.43
2020-03-24,Eversource,"Public Power, LLC (EA)",118161,False,3,9,,0.00,0.00,0.29,Fixed,0.0709,,0.00,,True,True,53.18,17.43
2020-03-24,Eversource,"Public Power, LLC (EA)",118171,False,4,9,,0.00,0.00,0.29,Fixed,0.0309,,30.00,"Monthly Capacity Fee is fixed for the term of the offer and billed separately by the supplier. Estimated annual usage must not exceed 30,000 kWh.",True,True,23.18,17.43
2020-03-24,Eversource,"Public Power, LLC (EA)",118166,False,5,9,,0.00,0.00,0.29,Fixed,0.0539,,12.95,"Monthly Capacity Fee is fixed for the term of the offer and billed separately by the supplier. Estimated annual usage must not exceed 30,000 kWh.",True,True,40.43,17.23
2020-03-24,Eversource,"Clearview Electric, Inc.",117476,False,6,9,,50.00,0.00,1.00,Fixed,0.0719,,0.00,,True,False,53.93,16.68
2020-03-24,Eversource,"Starion Energy, Inc.",117586,False,7,9,,0.00,0.00,0.29,Fixed,0.0729,,0.00,,False,True,54.68,15.93
2020-03-24,Eversource,Direct Energy,117651,False,8,8,,0.00,0.00,0.29,Fixed,0.0739,,0.00,,True,True,55.43,15.18
2020-03-24,Eversource,Sunwave Gas &amp; Power,118471,False,9,6,,50.00,0.00,0.29,Fixed,0.0751,,0.00,Offer designed for customers with 60% Load Factor energy consumption or better. Requires usage review and supplier approval. Contact supplier for details and information regarding cancellation fee.,False,False,56.29,14.32
