date_downloaded,TDU_service_territory,supplier_name,plan_id,Low_lag1,High_lag1,Low_lag2,High_lag2,Low_lag3,High_lag3,Low_lag4,High_lag4,Low_lag5,High_lag5,Low_lag6,High_lag6,Low_lag7,High_lag7,Low_lag8,High_lag8,Low_lag9,High_lag9,Low_lag10,High_lag10,Low_lag11,High_lag11,Low_lag12,High_lag12
2020-04-27,UI,UI,119581,0.103,0.13,0.103,0.144,0.0781,0.152,0.0768,0.131,0.078,0.101,0.0767,0.102,0.0755,0.102,0.075,0.102,0.078,0.102,0.09,0.116,0.092,0.18,0.092,0.164
2020-04-27,UI,"Starion Energy, Inc.",119946,0.069,0.149,0.069,0.149,0.069,0.149,0.069,0.149,0.069,0.149,0.069,0.149,0.069,0.149,0.069,0.149,0.069,0.149,0.069,0.179,0.073,0.179,0.073,0.179
2020-04-27,UI,"Public Power, LLC (EA)",119371,N/A,N/A,N/A,N/A,N/A,N/A,0.069,0.183,0.069,0.183,0.067,0.183,0.054,0.183,0.077,0.183,0.076,0.192,0.059,0.184,0.077,0.184,0.076,0.2
2020-04-27,UI,"Clearview Electric, Inc.",118366,0.0789,0.163,0.0799,0.163,0.0799,0.163,0.0799,0.163,0.0799,0.163,0.0799,0.163,0.0799,0.163,0.0799,0.163,0.0799,0.163,0.0799,0.163,0.0799,0.163,0.0799,0.163
2020-04-27,UI,"Discount Power, Inc.",119161,0.149,0.199,0.149,0.199,0.149,0.199,0.179,0.199,0.149,0.199,0.149,0.179,0.149,0.179,0.149,0.179,0.149,0.179,0.119,0.149,0.119,0.179,0.119,0.179
2020-04-27,UI,Direct Energy,119496,0.147,0.148,0.156,0.157,0.148,0.149,0.159,0.162,0.136,0.145,0.123,0.131,0.126,0.135,0.124,0.13,0.128,0.135,0.123,0.13,0.136,0.138,0.142,0.147
2020-04-27,UI,"Public Power, LLC",117936,0.059,0.183,0.059,0.183,0.064,0.183,0.064,0.183,0.059,0.183,0.059,0.183,0.069,0.183,0.069,0.183,0.067,0.183,0.054,0.183,0.077,0.183,0.076,0.192
2020-04-27,UI,Sunwave Gas &amp; Power,119576,0.103,0.13,0.103,0.144,0.0781,0.152,0.0768,0.131,0.078,0.101,0.0767,0.102,0.0755,0.102,0.075,0.102,0.078,0.102,0.09,0.116,0.092,0.18,0.092,0.164
2020-04-27,UI,"Liberty Power Holdings, LLC",119641,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0,0,0,0,0,0,0
2020-04-27,UI,North American Power,119246,0.169,0.179,0.169,0.179,0.169,0.179,0.169,0.179,0.169,0.179,0.169,0.179,0.169,0.179,0.169,0.179,0.169,0.179,0.169,0.179,0.169,0.179,0.169,0.179
