date_downloaded,TDU_service_territory,supplier_name,plan_id,incumbent_flag,plan_order_rank,contract_term_1,contract_term_2,early_termination_fee,enrollment_fee,percent_renewable,rate_type,variable_rate_1,variable_rate_2,fixed_charge,additional_incentives,enroll_online,new_customer_only,estimated_monthly_cost,estimated_savings
05/15/2020 04:50:18,Eversource,Eversource,54645,True,0,,,0.00,0.00,0.29,Fixed,0.0941,,0.00,Fixed for six months.,False,False,70.61,0.00
05/15/2020 04:50:18,Eversource,Town Square Energy,121756,False,1,7,29,0.00,0.00,0.29,Tiered,0.0664,0.0997,0.00,,False,False,49.80,20.81
05/15/2020 04:50:18,Eversource,"Liberty Power Holdings, LLC (EA)",121816,False,2,4,,0.00,0.00,0.29,Fixed,0.0665,,0.00,$15 Gift Card Offer upon completion of plan's 3rd billing cycle.,True,False,49.88,20.73
05/15/2020 04:50:18,Eversource,Town Square Energy,121751,False,3,6,,0.00,0.00,0.29,Fixed,0.0665,,0.00,,False,False,49.88,20.73
05/15/2020 04:50:18,Eversource,"Liberty Power Holdings, LLC (EA)",121821,False,4,6,,0.00,0.00,0.29,Fixed,0.0685,,0.00,$25 Gift Card Offer upon completion of plan's 5th billing cycle.,True,False,51.38,19.23
05/15/2020 04:50:18,Eversource,"Clearview Electric, Inc.",119666,False,5,6,,50.00,0.00,1.00,Fixed,0.0689,,0.00,,True,False,51.68,18.93
05/15/2020 04:50:18,Eversource,"Starion Energy, Inc.",119921,False,6,6,,0.00,0.00,0.29,Fixed,0.0689,,0.00,,False,True,51.68,18.93
05/15/2020 04:50:18,Eversource,"Major Energy Electric Services, LLC",120386,False,7,6,,0.00,0.00,0.29,Fixed,0.0699,,0.00,,True,True,52.43,18.18
05/15/2020 04:50:18,Eversource,"Public Power, LLC (EA)",121081,False,8,6,,0.00,0.00,0.29,Fixed,0.0699,,0.00,,True,True,52.43,18.18
05/15/2020 04:50:18,Eversource,Sunwave Gas &amp; Power,119561,False,9,6,,50.00,0.00,0.29,Fixed,0.0704,,0.00,Offer designed for customers with 60% Load Factor energy consumption or better. Requires usage review and supplier approval. Contact supplier for details and information regarding cancellation fee.,False,False,52.78,17.83
05/15/2020 04:50:18,Eversource,Direct Energy,121171,False,10,8,,0.00,0.00,0.29,Fixed,0.0707,,0.00,,True,True,53.03,17.58
05/15/2020 04:50:18,Eversource,"Clearview Electric, Inc.",117476,False,11,9,,50.00,0.00,1.00,Fixed,0.0719,,0.00,,True,False,53.93,16.68
05/15/2020 04:50:18,Eversource,"Public Power, LLC",120951,False,12,4,,50.00,0.00,0.29,Fixed,0.0719,,0.00,,False,False,53.93,16.68
05/15/2020 04:50:18,Eversource,"Starion Energy, Inc.",119906,False,13,6,,0.00,0.00,1.00,Fixed,0.0719,,0.00,Contact supplier regarding the renewable energy content of this offer.,False,True,53.93,16.68
05/15/2020 04:50:18,Eversource,"Verde Energy USA, Inc.",121556,False,14,6,,0.00,0.00,1.00,Fixed,0.0739,,0.00,,True,True,55.43,15.18
05/15/2020 04:50:18,Eversource,"Discount Power, Inc.",121096,False,15,6,,0.00,50.00,1.00,Fixed,0.0638,,0.00,Includes monthly online shopping/dining rewards program.,True,True,47.85,14.43
05/15/2020 04:50:18,Eversource,"Discount Power, Inc.",121091,False,16,6,,0.00,0.00,1.00,Fixed,0.0751,,0.00,Includes monthly online shopping/dining rewards program.,True,True,56.33,14.28
05/15/2020 04:50:18,Eversource,"Liberty Power Holdings, LLC (EA)",121826,False,17,17,,0.00,0.00,0.29,Fixed,0.0766,,0.00,$30 Gift Card Offer upon completion of plan's 6th billing cycle.,True,False,57.45,13.16
05/15/2020 04:50:18,Eversource,Town Square Energy,121661,False,18,17,,0.00,0.00,0.29,Fixed,0.0767,,0.00,,False,False,57.53,13.08
05/15/2020 04:50:18,Eversource,Town Square Energy,121586,False,19,36,,50.00,0.00,0.29,Fixed,0.0783,,0.00,,False,False,58.72,11.89
05/15/2020 04:50:18,Eversource,"Liberty Power Holdings, LLC (EA)",121831,False,20,30,,0.00,0.00,0.29,Fixed,0.0784,,0.00,$30 Gift Card Offer upon completion of plan's 6th billing cycle.,True,False,58.80,11.81
05/15/2020 04:50:18,Eversource,"Liberty Power Holdings, LLC",121691,False,21,36,,50.00,0.00,0.29,Fixed,0.0784,,0.00,$30 Gift Card Offer upon completion of plan’s 6th billing cycle.,True,False,58.81,11.80
05/15/2020 04:50:18,Eversource,Direct Energy,121161,False,22,18,,0.00,0.00,0.29,Fixed,0.0789,,0.00,,True,True,59.18,11.43
05/15/2020 04:50:18,Eversource,Sunwave Gas &amp; Power,119556,False,23,12,,50.00,0.00,0.29,Fixed,0.0790,,0.00,Offer designed for customers with 60% Load Factor energy consumption or better. Requires usage review and supplier approval. Contact supplier for details and information regarding cancellation fee.,False,False,59.21,11.40
05/15/2020 04:50:18,Eversource,Ambit Energy,121721,False,24,6,,0.00,0.00,0.29,Fixed,0.0795,,0.00,,False,False,59.63,10.98
05/15/2020 04:50:19,Eversource,"Starion Energy, Inc.",119926,False,25,12,,0.00,0.00,0.29,Fixed,0.0799,,0.00,,False,True,59.93,10.68
