date_downloaded,TDU_service_territory,supplier_name,plan_id,incumbent_flag,plan_order_rank,contract_term_1,contract_term_2,early_termination_fee,enrollment_fee,percent_renewable,rate_type,variable_rate_1,variable_rate_2,fixed_charge,additional_incentives,enroll_online,new_customer_only,estimated_monthly_cost,estimated_savings
05/15/2020 04:50:33,UI,UI,54649,True,0,,,0.00,0.00,0.29,Fixed,0.1056,,0.00,Fixed for six months.,False,False,79.20,0.00
05/15/2020 04:50:33,UI,Town Square Energy,121766,False,1,7,29,0.00,0.00,0.29,Tiered,0.0676,0.0997,0.00,,False,False,50.70,28.51
05/15/2020 04:50:33,UI,Town Square Energy,121761,False,2,6,,0.00,0.00,0.29,Fixed,0.0677,,0.00,,False,False,50.78,28.43
05/15/2020 04:50:33,UI,"Liberty Power Holdings, LLC (EA)",121716,False,3,4,,0.00,0.00,0.29,Fixed,0.0678,,0.00,$15 Gift Card Offer upon completion of plan's 3rd billing cycle.,True,False,50.85,28.36
05/15/2020 04:50:33,UI,"Public Power, LLC (EA)",121086,False,4,6,,0.00,0.00,0.29,Fixed,0.0679,,0.00,,True,True,50.93,28.28
05/15/2020 04:50:33,UI,"Verde Energy USA, Inc.",120366,False,5,6,,0.00,0.00,1.00,Fixed,0.0688,,0.00,,True,True,51.60,27.61
05/15/2020 04:50:33,UI,Sunwave Gas &amp; Power,119581,False,6,6,,50.00,0.00,0.29,Fixed,0.0693,,0.00,Offer designed for customers with 60% Load Factor energy consumption or better. Requires usage review and supplier approval. Contact supplier for details and information regarding cancellation fee.,False,False,51.94,27.27
05/15/2020 04:50:33,UI,"Starion Energy, Inc.",119946,False,7,6,,0.00,0.00,0.29,Fixed,0.0699,,0.00,,False,True,52.43,26.78
05/15/2020 04:50:33,UI,"Liberty Power Holdings, LLC (EA)",121836,False,8,6,,0.00,0.00,0.29,Fixed,0.0715,,0.00,$25 Gift Card Offer upon completion of plan's 5th billing cycle.,True,False,53.62,25.59
05/15/2020 04:50:33,UI,"Public Power, LLC",120971,False,9,4,,50.00,0.00,0.29,Fixed,0.0719,,0.00,,False,False,53.93,25.28
05/15/2020 04:50:33,UI,"Clearview Electric, Inc.",118366,False,10,6,,50.00,0.00,1.00,Fixed,0.0729,,0.00,,True,False,54.68,24.53
05/15/2020 04:50:33,UI,"Starion Energy, Inc.",119931,False,11,6,,0.00,0.00,1.00,Fixed,0.0729,,0.00,Contact supplier regarding the renewable energy content of this offer.,False,True,54.68,24.53
05/15/2020 04:50:33,UI,"Clearview Electric, Inc.",117541,False,12,9,,50.00,0.00,1.00,Fixed,0.0739,,0.00,,True,False,55.43,23.78
05/15/2020 04:50:33,UI,"Major Energy Electric Services, LLC",120396,False,13,6,,0.00,0.00,0.29,Fixed,0.0749,,0.00,,True,True,56.18,23.03
05/15/2020 04:50:33,UI,"Discount Power, Inc.",119161,False,14,6,,0.00,50.00,1.00,Fixed,0.0640,,0.00,Includes monthly online shopping/dining rewards program.,True,True,48.00,22.88
05/15/2020 04:50:33,UI,Direct Energy,121196,False,15,8,,0.00,0.00,0.29,Fixed,0.0759,,0.00,,True,True,56.93,22.28
05/15/2020 04:50:33,UI,Sunwave Gas &amp; Power,119576,False,16,12,,50.00,0.00,0.29,Fixed,0.0780,,0.00,Offer designed for customers with 60% Load Factor energy consumption or better. Requires usage review and supplier approval. Contact supplier for details and information regarding cancellation fee.,False,False,58.46,20.75
05/15/2020 04:50:33,UI,Town Square Energy,121666,False,17,17,,0.00,0.00,0.29,Fixed,0.0787,,0.00,,False,False,59.03,20.18
05/15/2020 04:50:33,UI,"Liberty Power Holdings, LLC (EA)",121631,False,18,17,,0.00,0.00,0.29,Fixed,0.0790,,0.00,$30 Gift Card Offer upon completion of plan's 6th billing cycle.,True,False,59.25,19.96
05/15/2020 04:50:33,UI,Ambit Energy,121736,False,19,6,,0.00,0.00,0.29,Fixed,0.0795,,0.00,,False,False,59.63,19.58
05/15/2020 04:50:33,UI,"Starion Energy, Inc.",119951,False,20,12,,0.00,0.00,0.29,Fixed,0.0799,,0.00,,False,True,59.93,19.28
05/15/2020 04:50:33,UI,"Discount Power, Inc.",121111,False,21,6,,0.00,0.00,1.00,Fixed,0.0810,,0.00,Includes monthly online shopping/dining rewards program.,True,True,60.75,18.46
05/15/2020 04:50:33,UI,"Liberty Power Holdings, LLC (EA)",121406,False,22,30,,0.00,0.00,0.29,Fixed,0.0816,,0.00,$30 Gift Card Offer upon completion of plan's 6th billing cycle.,True,False,61.20,18.01
05/15/2020 04:50:33,UI,Town Square Energy,120636,False,23,36,,50.00,0.00,0.29,Fixed,0.0817,,0.00,,False,False,61.28,17.93
05/15/2020 04:50:33,UI,"Liberty Power Holdings, LLC",121506,False,24,36,,50.00,0.00,0.29,Fixed,0.0818,,0.00,$30 Gift Card Offer upon completion of plan’s 6th billing cycle.,True,False,61.35,17.86
05/15/2020 04:50:33,UI,Direct Energy,121186,False,25,18,,0.00,0.00,0.29,Fixed,0.0819,,0.00,,True,True,61.43,17.78
05/15/2020 04:50:33,UI,North American Power,119246,False,26,14,,50.00,0.00,0.29,Fixed,0.0829,,0.00,,False,False,62.18,17.03
05/15/2020 04:50:33,UI,"Verde Energy USA, Inc.",120376,False,27,12,,0.00,0.00,1.00,Fixed,0.0829,,0.00,,True,True,62.18,17.03
05/15/2020 04:50:33,UI,"Connecticut Gas &amp; Electric, Inc.",120836,False,28,6,,50.00,0.00,0.29,Fixed,0.0830,,0.00,,False,False,62.25,16.96
05/15/2020 04:50:33,UI,Town Square Energy,118421,False,29,12,,0.00,0.00,0.29,Fixed,0.0837,,0.00,,False,False,62.78,16.43
05/15/2020 04:50:33,UI,"Liberty Power Holdings, LLC",121501,False,30,36,,50.00,0.00,1.00,Fixed,0.0838,,0.00,$30 Gift Card Offer upon completion of plan’s 6th billing cycle.,False,False,62.85,16.36
05/15/2020 04:50:33,UI,"Clearview Electric, Inc.",111631,False,31,12,,50.00,0.00,1.00,Fixed,0.0839,,0.00,,True,False,62.93,16.28
05/15/2020 04:50:33,UI,Direct Energy,121181,False,32,12,,0.00,0.00,0.29,Fixed,0.0849,,0.00,,True,True,63.68,15.53
05/15/2020 04:50:33,UI,North American Power,119241,False,33,12,,50.00,0.00,0.29,Fixed,0.0849,,0.00,,False,False,63.68,15.53
05/15/2020 04:50:33,UI,"Public Power, LLC",120976,False,34,12,,50.00,0.00,0.29,Fixed,0.0849,,0.00,,False,False,63.68,15.53
05/15/2020 04:50:33,UI,"Public Power, LLC",120981,False,35,24,,50.00,0.00,0.29,Fixed,0.0849,,0.00,,False,False,63.68,15.53
05/15/2020 04:50:33,UI,Direct Energy,121191,False,36,36,,0.00,0.00,0.29,Fixed,0.0859,,0.00,,True,True,64.43,14.78
05/15/2020 04:50:33,UI,"Public Power, LLC",120991,False,37,36,,50.00,0.00,0.29,Fixed,0.0859,,0.00,,False,False,64.43,14.78
