date_downloaded,TDU_service_territory,supplier_name,plan_id,incumbent_flag,plan_order_rank,contract_term_1,contract_term_2,early_termination_fee,enrollment_fee,percent_renewable,rate_type,variable_rate_1,variable_rate_2,fixed_charge,additional_incentives,enroll_online,new_customer_only,estimated_monthly_cost,estimated_savings
2020-03-31,UIResidentialCustomers,UIResidentialCustomers,54649,True,0,,,0.00,0.00,0.29,Fixed,0.1056,,0.00,"Fixed until June 30, 2020.",False,False,79.20,0.00
2020-03-31,UIResidentialCustomers,Town Square Energy,119031,False,1,7,,0.00,0.00,0.29,Fixed,0.0720,,0.00,,False,False,54.00,25.21
2020-03-31,UIResidentialCustomers,"Liberty Power Holdings, LLC (EA)",119001,False,2,6,,50.00,0.00,0.29,Fixed,0.0721,,0.00,,False,False,54.08,25.13
2020-03-31,UIResidentialCustomers,"Clearview Electric, Inc.",118366,False,3,6,,50.00,0.00,1.00,Fixed,0.0729,,0.00,,True,False,54.68,24.53
2020-03-31,UIResidentialCustomers,"Public Power, LLC (EA)",118176,False,4,9,,0.00,0.00,0.29,Fixed,0.0729,,0.00,,True,True,54.68,24.53
2020-03-31,UIResidentialCustomers,"Clearview Electric, Inc.",117541,False,5,9,,50.00,0.00,1.00,Fixed,0.0739,,0.00,,True,False,55.43,23.78
2020-03-31,UIResidentialCustomers,"Starion Energy, Inc.",117596,False,6,9,,0.00,0.00,0.29,Fixed,0.0739,,0.00,,False,True,55.43,23.78
2020-03-31,UIResidentialCustomers,Sunwave Gas &amp; Power,118461,False,7,6,,50.00,0.00,0.29,Fixed,0.0744,,0.00,Offer designed for customers with 60% Load Factor energy consumption or better. Requires usage review and supplier approval. Contact supplier for details and information regarding cancellation fee.,False,False,55.82,23.39
2020-03-31,UIResidentialCustomers,"Public Power, LLC (EA)",118186,False,8,9,,0.00,0.00,0.29,Fixed,0.0349,,30.00,"Monthly Capacity Fee is fixed for the term of the offer and billed separately by the supplier. Estimated annual usage must not exceed 30,000 kWh.",True,True,26.18,23.03
2020-03-31,UIResidentialCustomers,"Discount Power, Inc.",119161,False,9,6,,0.00,50.00,1.00,Fixed,0.0640,,0.00,Includes monthly online shopping/dining rewards program.,True,True,48.00,22.88
2020-03-31,UIResidentialCustomers,"Public Power, LLC (EA)",118181,False,10,9,,0.00,0.00,0.29,Fixed,0.0579,,12.95,"Monthly Capacity Fee is fixed for the term of the offer and billed separately by the supplier. Estimated annual usage must not exceed 30,000 kWh.",True,True,43.43,22.83
2020-03-31,UIResidentialCustomers,"Discount Power, Inc.",119171,False,11,6,,0.00,0.00,0.29,Fixed,0.0760,,0.00,Includes monthly online shopping/dining rewards program.,True,True,57.00,22.21
2020-03-31,UIResidentialCustomers,"Verde Energy USA, Inc.",118406,False,12,6,,0.00,0.00,1.00,Fixed,0.0769,,0.00,,True,True,57.68,21.53
2020-03-31,UIResidentialCustomers,"Public Power, LLC",117936,False,13,4,,50.00,0.00,0.29,Fixed,0.0770,,0.00,,False,False,57.75,21.46
2020-03-31,UIResidentialCustomers,Direct Energy,117646,False,14,8,,0.00,0.00,0.29,Fixed,0.0779,,0.00,,True,True,58.43,20.78
2020-03-31,UIResidentialCustomers,"Discount Power, Inc.",119166,False,15,6,,0.00,0.00,1.00,Fixed,0.0780,,0.00,Includes monthly online shopping/dining rewards program.,True,True,58.50,20.71
2020-03-31,UIResidentialCustomers,Town Square Energy,119036,False,16,36,,50.00,0.00,0.29,Fixed,0.0787,,0.00,,False,False,59.03,20.18
2020-03-31,UIResidentialCustomers,"Liberty Power Holdings, LLC",119101,False,17,36,,50.00,0.00,0.29,Fixed,0.0788,,0.00,$30 rebate after 6 months.,True,False,59.10,20.11
2020-03-31,UIResidentialCustomers,Sunwave Gas &amp; Power,118456,False,18,12,,50.00,0.00,0.29,Fixed,0.0808,,0.00,Offer designed for customers with 60% Load Factor energy consumption or better. Requires usage review and supplier approval. Contact supplier for details and information regarding cancellation fee.,False,False,60.60,18.61
2020-03-31,UIResidentialCustomers,"Liberty Power Holdings, LLC",119096,False,19,36,,50.00,0.00,1.00,Fixed,0.0809,,0.00,$30 rebate after 6 months.,False,False,60.68,18.53
2020-03-31,UIResidentialCustomers,Town Square Energy,118421,False,20,12,,0.00,0.00,0.29,Fixed,0.0837,,0.00,,False,False,62.78,16.43
2020-03-31,UIResidentialCustomers,"Clearview Electric, Inc.",111631,False,21,12,,50.00,0.00,1.00,Fixed,0.0839,,0.00,,True,False,62.93,16.28
2020-03-31,UIResidentialCustomers,"Starion Energy, Inc.",114126,False,22,12,,0.00,0.00,0.29,Fixed,0.0849,,0.00,,False,True,63.68,15.53
2020-03-31,UIResidentialCustomers,Town Square Energy,115966,False,23,22,,0.00,0.00,0.29,Fixed,0.0857,,0.00,,False,False,64.28,14.93
2020-03-31,UIResidentialCustomers,North American Power,118046,False,24,10,,50.00,0.00,0.29,Fixed,0.0859,,0.00,,False,False,64.43,14.78
2020-03-31,UIResidentialCustomers,"Public Power, LLC",117951,False,25,36,,50.00,0.00,0.29,Fixed,0.0875,,0.00,,False,False,65.63,13.58
2020-03-31,UIResidentialCustomers,"Public Power, LLC",117946,False,26,24,,50.00,0.00,0.29,Fixed,0.0876,,0.00,,False,False,65.70,13.51
2020-03-31,UIResidentialCustomers,Direct Energy,117621,False,27,18,,0.00,0.00,0.29,Fixed,0.0879,,0.00,,True,True,65.93,13.28
2020-03-31,UIResidentialCustomers,North American Power,118031,False,28,12,,50.00,0.00,0.29,Fixed,0.0879,,0.00,,False,False,65.93,13.28
2020-03-31,UIResidentialCustomers,"Starion Energy, Inc.",114131,False,29,12,,0.00,0.00,1.00,Fixed,0.0879,,0.00,Contact supplier regarding the renewable energy content of this offer.,False,True,65.93,13.28
2020-03-31,UIResidentialCustomers,"Public Power, LLC",117941,False,30,12,,50.00,0.00,0.29,Fixed,0.0886,,0.00,,False,False,66.45,12.76
2020-03-31,UIResidentialCustomers,"Constellation NewEnergy, Inc.",117106,False,31,36,,50.00,0.00,0.29,Fixed,0.0899,,0.00,,False,False,67.43,11.78
2020-03-31,UIResidentialCustomers,"Verde Energy USA, Inc.",117221,False,32,12,,0.00,0.00,1.00,Fixed,0.0899,,0.00,Rebate offer.,True,True,67.43,11.78
2020-03-31,UIResidentialCustomers,Direct Energy,117626,False,33,36,,0.00,0.00,0.29,Fixed,0.0909,,0.00,,True,True,68.18,11.03
2020-03-31,UIResidentialCustomers,Direct Energy,117616,False,34,12,,0.00,0.00,0.29,Fixed,0.0919,,0.00,,True,True,68.93,10.28
2020-03-31,UIResidentialCustomers,Energy Rewards,118021,False,35,24,,50.00,0.00,1.00,Fixed,0.0929,,0.00,,False,False,69.68,9.53
2020-03-31,UIResidentialCustomers,Energy Rewards,118016,False,36,12,,0.00,0.00,1.00,Fixed,0.0939,,0.00,,False,False,70.43,8.78
2020-03-31,UIResidentialCustomers,Sunwave Gas &amp; Power,118556,False,37,5,,50.00,0.00,0.29,Fixed,0.0940,,0.00,,False,False,70.47,8.74
2020-03-31,UIResidentialCustomers,"Connecticut Gas &amp; Electric, Inc.",117811,False,38,6,,50.00,0.00,0.29,Fixed,0.0950,,0.00,,False,False,71.25,7.96
2020-03-31,UIResidentialCustomers,Direct Energy,117641,False,39,24,,0.00,0.00,1.00,Fixed,0.0959,,0.00,,True,True,71.93,7.28
