
Date Downloaded,State,TDU Service Territory,Zip,Supplier Name,Plan Name,Variable Rate 500kWh,Variable Rate 1000kWh,Variable Rate 2000kWh,Rate Type,Contract Term,Cancellation Fee,Termination Fee Details,Percent Renewable,Fact Sheet Name,Terms of Services Name,URL,Fact Sheet,Terms of Service,Enroll Phone,Additional Fees,Minimum Usage Fee,Renewal Details,Base Charge,Energy Charge,Delivery Charge, Company Rating
12/13/2019,TX,CENTERPOINT ENERGY HOUSTON ELECTRIC LLC,77494,SUMMER ENERGY LLC,3 Months Texas Summer Savings Product,10.3 cents,7.9 cents,7.6 cents,Fixed,3 months,$100.00,The amount of the Early Termination Fee will be $100 PO Box 460485 Contact hours: 8 AM to 7 PM CST (M-F) Company  Info Is this pre-pay or pay in advance product?,11%,PDFs/SUMMER ENERGY LLC.pdf,Terms of Services/SUMMER ENERGY LLC.pdf,https://www.summerenergy.com/Signup?promocode=PTCCNP2019,https://www.summerenergy.com/PDF/EFL3MPTCSUMRES4M9ALLCPT121319.pdf,https://www.summerenergy.com/PDF/TOS.pdf,(888) 594-9299, Customer is responsible for all regulatory charges taxes duties fees levies premiums or any other charges of any kind whether direct or indirect relating to the sale purchase or delivery of electricity together with all interest penalties or other additional amounts imposed including but not limited to gross receipts tax PUCT Assessment sales tax consumption tax use tax value added tax kWh commercial activity or other privilege tax and any other tax (whether in effect as of the effective date of this Agreement or thereafter) imposed by any governmental entity. Additional Charges & Fees: SUMMER will charge a one-time late payment penalty of 5% for each delinquent month's charges that remain unpaid after the close of business on the bill due date. What other fees may I be charged? Prices exclude TDU non-recurring charges and other non-recurring charges such as state and local  taxes PUC assessment and gross receipts reimbursements if applicable.,  , Term & Renewal: This Agreement shall commence on the date of the initial meter reading by the applicable TDU and continue for the period indicated in your Authorization and For term products (non-month to month products) a contract expiration notice will be sent at least thirty (30) days prior to the end of the Initial Term. Si usted no renueva su acuerdo con SUMMER el servicio continuara automaticamente en una modalidad mensual una vez alcanzado el vencimiento del plazo inicial si se trata de un producto renovable por defecto y de precio variable. 4) pagos recibidos via pagos de giros automaticos NO SERAN aplicados un cargo de procesamiento de pagos; pagos recibidos por correo regular NO TENDRAN aplicado un cargo de procesamiento de pagos; pagos recibidos por nuestra pagina de internet seran cobrados un cargo de procesamiento de pago de $3. ,500,,,5,
12/13/2019,TX,CENTERPOINT ENERGY HOUSTON ELECTRIC LLC,77494,YEP,YEP Saver Fixed Autopay E-Plan,11.1 cents,10.3 cents,9.9 cents,Fixed,36 months,$175.00,Yes $175 unless you move during the Term as setforth in your Terms of Service or unless your serviceis terminated for a reason permitted by your Termsof Service.,16%,PDFs/YEP-1.pdf,Terms of Services/YEP-1.pdf,https://enroll.yepenergy.com,https://texpo-prod-api.eroms.works/api/v1/document/ViewProductDocument?type=efl&rateCode=YRCNPF36PTC&lang=en,https://texpo-prod-api.eroms.works/api/v1/document/ViewProductDocument?type=tos&rateCode=YRCNPF36PTC&lang=en,(866) 937-5937,) Non-Recurring Fee Schedule of the TDSPs :  The table below itemizes the standard non-recurring  fees as charged by your TDSP as of May 23 2017.  We intend that all  non-recurring fees will be disclosed prior to submitting any transactions that would g enerate such non-recurring fees.Disclosure ChartWhat other fees may I becharged?,  ,) Term & Renewal:  Your service will begin on your next mete r read cycle date (your   Please call or contac t us via email or online at the above info rmation to renew your service once or befo re your term approaches expiration.  Plea se see the Automatic Continuance  section for provisions governing  your price and serv ice after expiration  of your initial term. If you elected to  authorize monthly payment of your invoices via automatic recurring  (i) withdrawals from your checking or savings accounts or ( ii) charges to your credit card then  YEP may debit your bank account (or charge your credit card) on  or after the third day after the date of the invoice) Automatic Continuance:  After the expiration of your Agreement  YEP will send you an Expira tion Notice at least 14 days prior to the end of your Term.) Consent to Contact Via Text Email Automatic Phone Dialing and the Use of Pre-Recorded Voice Systems:  To further YEP ,,,$3.00,5,
12/13/2019,TX,CENTERPOINT ENERGY HOUSTON ELECTRIC LLC,77494,TXU ENERGY,Value Edge 12,15.5 cents,11.0 cents,13.8 cents,Fixed,12 months,$150.00,$150.00,6%,PDFs/TXU ENERGY-1.pdf,Terms of Services/TXU ENERGY-1.pdf,http://www.txu.com/ptc/valueedge12,https://www.txu.com/Handlers/PDFGenerator.ashx?comProdId=CPX30VALED12AZ&lang=en&formType=EnergyFactsLabel&custClass=3&tdsp=ER_CENTERP,https://www.txu.com/~/media/Files/Marketing/Residential/Other-PDFs/TOSA.pdf,(855) 847-6135,   Taxes and other charges for residential customers may be  different than those for business customers.   The average prices disclosed on  your EFL include recurring charges which are  charges that we expect to  bill you on a regular basis.           What are  TDU non recurring fees ?     What non recurring fees  other than  TDU   fees  can I be charged?      Other Fees      If additional fees apply to your product they will be  described in your  EFL.        TXU Energy Express Pay      You can choose to pa y your bill by credit  card debit card or electronic check for no additional charge by calling our  automated telephone service or by visiting  our website .Average prices per kWh listed above do not include facility relocation fees or other charges ordered by a municipality.DisclosureChartWhat other fees may I be charged?,  ,   CONTRACT EXPIRATION NOTICE   If you  are on   product that has a contract term of at least three months we  will send you a written notice at least  30  days  or one billing cycle prior to  the date of contract expiration but no more than 60 days or two billing  cycles in advance of contract expira tion .   The  contract expiration  notice will let you kn ow  what you need to do if you want to renew your  service  to another term or  change your service plan.     I am   on a product with a term longer than 31 days  what happens if I  terminate my Contract  before it expires?   However you  can  contact TXU Energy  to terminate your Contract without penalty if: (1)   you  move to another location   and provide us with evidence of your move and a  forwarding ad dress ;   (2)   we notify you of a change to the terms and  conditions of your Contract and you terminate within 14 days from the date  the notice is sent; or (3)   you terminate your Contract within 14 days of its  expiration date. ,$9.95,€0,,5,
12/13/2019,TX,CENTERPOINT ENERGY HOUSTON ELECTRIC LLC,77494,INFUSE ENERGY LLC,Essential Infusion 3,7.8 cents,7.1 cents,6.7 cents,Fixed,3 months,$100.00,Yes; you will incur a $100 fee if you terminate your service prior to the  end of the contract term.,16%,PDFs/INFUSE ENERGY LLC-1.pdf,Terms of Services/INFUSE ENERGY LLC-1.pdf,https://www.infuseenergy.com/signup/signup-step1/?id=884349&promotion=NONE&valid=N&referral=&landingpage=ptc,https://88fd201f32c53c2bd0fb-11ba98ed637230a2314ec7c228a44bda.ssl.cf5.rackcdn.com/201912/EFL-20191203-112356-CENTERPT-Essential Infusion 3 (English).pdf,http://dba4d476800d46d49629-8921003a898874cc7b56a2d8016f01f6.r82.cf5.rackcdn.com/Base/TOS-Base-20180913-000000-English%20(Resi%20+%20Sm%20Comm).pdf,(844) 463-8732,   Also please note that the prices shown on the  E FL  do not include any taxes  non recurring fees charged by the TDU serving the ESI ID(s) covered by this  Agreement or other Infuse non recurring service fees identified in this  Agreement.  In addition  Infuse will charge a fee for each payment transaction that is not processed   Lastly Infuse also has the right to charge  disconnection and reconnection   Possible Nonrecurring Fees      Possible Nonrecurring Fees:   Below are fees you may be charged by  Infuse. Your bill will also include all applicable  Taxes and other charges allowed pursuant to this Agreement.com PUCT Certificate Number: 10223 Customer Care (toll-free): 844-463-8732 2020 SW Freeway STE 325 Houston TX 77098 8:30am to 5:30pm CPT Monday-Friday Electricity Price Average Monthly Use Average Price per kWh The price you pay  per billing cycle  will include: The energy charge(s) below Applicable  non-recurring  fees from the TDU (passed through at cost) and What other fees may I be charged?  Information on other charges and non-recurring fees is  available in the Pricing and Possible Nonrecurring Fees sections of the  Terms of Service document.,  ,00 for any declined or returned  payment for any reason including but not limited to insufficient funds  by any method of payment including but not limit ed to bank or personal  check automatic payment plan account deduction or credit   Expiration :   For Plans that have a Term which is greater than 1 month a   contract expiration notice will be sent at least 14 days prior to the end of the  initial contract term and  no Early Termination Fee shall apply 14 or fewer  days prior to the date stated as the expiration date in the notice.  Residential customers on the  Keep It Simple Savings  Weekend Free For All CareFree Nights and Essential Infusion plans  will  automatically renew for successive monthly t  prevailing Practical  Simple  Monthly Plan or Sensible   Simple  Green Monthly  Plan (if the originally selected Plan is effectively composed of at least 50%  renewable energy)  rate s  as  disclosed in the applicable Electricity Facts Label  then in effect . Upon receiving any such  notice you will have the right to  terminate this Agreement by choosing  anothe r REP and no termination penalty shall apply for 14 days from the date  that the notice is sent to you but may apply if action is taken after the 14 days  have expired.   However if you terminate this Agreement with Infuse for any covered ESI  ID(s) prior to the end of the Term or any renewal Term of any Plan by  switching to another REP Plan or otherwise for any reason other than those  listed in the immediately pre ceding paragraph or if Infuse terminates this  Agreement because your electric service has been disconnected for failure    lan as set  forth in the applicable EFL.   Termination :   After the T erm of your Plan  has expired we will  continue to  supply you with electricity  on a monthly basis until you cancel by switching  to another  REP  select another  Infuse  Plan or we terminate or disconnect  your electric service . You are required to notify and provide Infuse with new bank  account or credit card information should your designated method of  payment expire or otherwise become o bsolete or unusable. Th is provision survives any  termination or expiration of this Agreement. ,$2.00,2.284 cents,,4,
12/13/2019,TX,CENTERPOINT ENERGY HOUSTON ELECTRIC LLC,77494,FRONTIER UTILITIES,Friends & Family 12 Green,11.8 cents,11.3 cents,11.0 cents,Fixed,12 months,$150.00,Yes. A $ 150.00 early termination fee will apply if you terminate serviceprior to the expiration of the contract term.,100%,PDFs/FRONTIER UTILITIES.pdf,Terms of Services/FRONTIER UTILITIES.pdf,https://portal.frontierutilities.com/Webenrollment/LandingPage.aspx?TDSP_Code=CNP&Ref_ID=PTC&promo_code=FF12G%2B&Ref_Code=PTC,http://portal.frontierutilities.com/frontierefl2/eflviewer.aspx?lang=EN&prodcode=FF12G%2b&tdspcode=CNP,http://portal.frontierutilities.com/frontierefl/eflviewer.aspx?lang=EN&prodcode=TOS,(877) 261-1024,   We may also charge other fees assessed to Frontier Utilities  by third parties that are incurred  to service your account.    Other  Charges  and  Fees : You may be required to pay  nonrecurring fees (e. All nonrecurring fees may appear as a separate   line item on your invoice. This price does not include taxes or  non-recurring fees.  This price does not include taxes or non -recurring fees.KeyTermsFor a description of all other fees see the "Fees" "Other Charges and fees" and "Credit Checks & Deposits" sections of your Term of Service.What other fees may I be charged?, To maintain a positive balance we may require a  minimum purchase of the equivalent of two days of your  established average power usage. However if your account is  disconnected you may be required to pay a Disconnect   Charge Reconnect Charge and any negative usage incurred. , Other notices such as but not limited to  disconnection notices renewal offers marketing and  promotions may still be mailed to your postal address.   Contract  Expiration  Notice : Frontier Utilities will send you an  expiration notice at least 30 days prior to the date of contract  expiration but no more than 60 days in advance of the  expiration. If you do not  renew the Agreement before the expiration date your electric  service with Frontier Utilities will continue on Frontier Utilities   Fixed  Term  Contract  Expiration  Notice : Frontier Utilities will send  you an expiration  notice at least 30 days prior to the date of  contract expiration but no more than 60 days in advance of the  expiration. Discounts and Credit  payments  will then automatically be used to purchase additional kWhs at  the current rate per kWh. This Agreement will be cancelled  automatically if your s ervice is disconnected and you are not  reconnected within 5 days after disconnection. Your service will be automatically disconnected if your  balance remains below $10 (approximately  70kWh) for more  than 5 days or if it has been more than 5 days since your last  recharge and your balance is $10 (approximately 70kWh) or  below.00 early termination fee will apply if you terminate serviceprior to the expiration of the contract term.,$0.00,6.70,$5.47,3,
12/13/2019,TX,CENTERPOINT ENERGY HOUSTON ELECTRIC LLC,77494,TARA ENERGY,Simple Choice - 8,9.8 cents,8.8 cents,8.3 cents,Fixed,8 months,$175.00 per ESIID,Yes. The exit fee is $175.  ,11%,PDFs/TARA ENERGY.pdf,Terms of Services/TARA ENERGY.pdf,https://www.taraenergy.com/Residential/Plans-and-Prices/promocode/ptc,https://webs.taraenergy.com/Generate_Docs/Generate_EflLinks.aspx?RID=Xcxp1CjLACA=&RCID=C2EGh7SsiDo=&L=6f+Ch9flI7k=,https://webs.taraenergy.com/Generate_Docs/TosyracLink.aspx?RID=Xcxp1CjLACA=&RCID=C2EGh7SsiDo=&L=6f+Ch9flI7k=,(866) 438-8272,Additional Charges & Fees  the bill due date. You will be  responsible for any non-recurring fees assessed by the TDSP and Additionally you remain  responsible for any non-recurring charges from your TDSP. What other fees may I be charged?,  , Your electricity requirements at the service location or ESI ID designated by you on your  Enrollment or Renewal Form will be served under this Agreement. Your initial length of service is  indicated on your Enrollment or Renewal Form. If you fail to renew  your contract with Tara Energy or switch to another REP your service will automatically continue on a month-to-month basis after the  expiration of your initial contract on the Default Renewal Product which is a variable price product whose price will be determined by  current market conditions until cancelled by either you or Tara Energy. If the commodity plan automatically includes JustGreen then JustGreen cannot be discontinued without  switching plans.99 per month to offset up  to 100% of your energy usage with renewable energy if JustGreen is not automatically included in your plan. ,$4.95,,,2,
12/13/2019,TX,CENTERPOINT ENERGY HOUSTON ELECTRIC LLC,77494,CIRRO ENERGY,Smart Secure 12,12.9 cents,12.9 cents,12.9 cents,Fixed,12 months,$150.00,Yes. $150. This fee does not apply if the customer moves  and provides a forwarding address and other evidence that  may be requested to verify that the customer moved.,10%,PDFs/CIRRO ENERGY-1.pdf,Terms of Services/CIRRO ENERGY-1.pdf,https://www.cirroenergy.com/signup/plans?tdsp_code=D0001&promo_code=WA198B&fromLP=ptc,https://signup.cirroenergy.com/files/090175188211445c.pdf,https://signup.cirroenergy.com/files/0901751880b58ee7.pdf,(844) 417-7180,   You agree to pay non-recurring fees charged by the transmission and di stribution service provider (TDSP) that are necessary to  implement  and Non-recurring fees will appear as separat e line items on your bill. The price non-recurring fees  and Taxes will be reflected on your invoice as Current Charges. What other fees may I be charged? Information  on other non-recurring fees is available in the pricing  section of your Terms of Service.,  , There is also a $30 Disconnect  Recovery Charge if you fail to pay the past due amount before th e expiration date of any disconnection notice issued by Cirro E nergy.  You will not continue to r eceive a bill if the Third  Party Services are scheduled to  cancel automatically when your el ectricity service contract with us is cancelled or terminated .  Automatic Bank Draft:  You may pay your monthly invoice through an automatic bank  draft by completing our Bank Draft Authorization  Form which is available upon request.   Automatic Debit Card Pay : You may select the automatic payment plan using your Visa or MasterCard debit card. The TDSP will notify  you of the final  status of your designation as a Critical Care or Chronic  Condition Residential Customer and will notify you when such designat ion will expire and  whether you will receive a renewal notice.      Contract Expiration Notice              A contract expiration notice will be sent to y ou at least 30 days before the end of your initial contract term spec ified in your EFL.     Contract Expiration Notice              A contract expiration notice will be sent to y ou at least 30 days before the end of your initial contract term spec ified in your EFL. ,,12.9,,3,
12/13/2019,TX,CENTERPOINT ENERGY HOUSTON ELECTRIC LLC,77494,TRIEAGLE ENERGY LP,Green Eagle 12,12.1 cents,11.6 cents,11.3 cents,Fixed,12 months,$20.00 per month left in term,Yes.  $20 multiplied by the number of months  remaining in your current Fixed Rate term  determined at the time of termination.,100%,PDFs/TRIEAGLE ENERGY LP.pdf,Terms of Services/TRIEAGLE ENERGY LP.pdf,http://www.trieagleenergy.com/default.aspx?webcode=PTC,http://www.trieagleenergy.com/docs/efl/powertochoose/EFL-CNP-G-12mo.pdf,http://www.trieagleenergy.com/Docs/TOS/TX/TOS.pdf,(877) 933-2453, The  Energy  Charge to be paid per billing cycle  by Customer to TriEagle will include: cost of energy; ERCOT pass  through charges; the transmission and distribution charges and other recurring charges from your local  TDSP.  Customer shall also be  liable for all assessments and other charges imposed by the PUCT or any governmental authority on the  sale of electricity by TriEagle to Customer. Prices exclude TDU nonrecurring charges and other non-recurring charges such as state and local taxes and gross  receipts reimbursements if applicable. What other fees may I be charged?,  , (f) If a Renewal Agreement is not executed prior to the current Agreement  A termination penalty may apply if the Customer does not  notify TriEagle prior to the expiration of the 14 day notice.    The  TDSP  shall notify the customer of the expiration of  their designation via a mailed renewal notice for a period longer than 90 days for a Chronic Condition  Customer or at least 45 days prior to the expiration date of the customer The provision of this Agreement concerning payment confidentiality and indemnification  shall survive the termination or expiration of this Agreement. ,$4.95,11.1¢,,2,
12/13/2019,TX,CENTERPOINT ENERGY HOUSTON ELECTRIC LLC,77494,CHARIOT ENERGY,Chariot Choice 18,10.8 cents,10.2 cents,10.0 cents,Fixed,18 months,$49.00,Yes $49.00 associated with terminating service?,100%,PDFs/CHARIOT ENERGY.pdf,Terms of Services/CHARIOT ENERGY.pdf,https://signup.mychariotenergy.com/Home/index?ProductCode=RN18000011&Promo=PTC,https://signup.mychariotenergy.com/Home/EFl?productId=24960,https://signup.mychariotenergy.com/Home/TOS?productId=24960,(855) 524-2746, Your EFL price reflects the inclusion of all TDSP recurring charges. The price non-recurring fees and Taxes will be reflected on your monthly bill as Current Charges.  Non-Recurring Fees and Charges  You agree to pay non-recurring fees charged by the TDSP that are necessary to implement and Non-recurring fees by the TDSP may include service connection disconnection or reconnection fees meter test fees or special out-of-cycle meter read fees. That average monthly usage will then be multipled by your contracted price for electricity (which includes all monthly recurring charges).     Disclosure Chart  Fees not included in price above: Disconnect Notice Fee: $10; Insufficient Funds Fee: $35; Disconnect Due to Non-Pay Fee: $25; Late  What other fees may  Payment Penalty: 5% of past due balances; please refer to the NonRecurring Fees and Charges section of Terms of Service for a full listing of non-recurring fees.,  , Any Third-Party Services that are included on your bill will automatically terminate when your electric service contract wth us is cancelled.00 NSF Fee for payments returned for insufficient funds by any method of payment including but not limited to bank or personal check automatic payment plan account deduction or credit If the documentation conflicts with the value you provided upon enrollment we reserve the right to cancel this agreement without notice and transfer your account to the Default Renewal Product effective at the start of your next billing cycle. You have the right to terminate your contract without penalty if you terminate your contract within 14 days of its expiration date.  Default Renewal Product: The Default Renewal Product applies to customers whose contract term has expired and who have not selected a new fixed rate contract term. Your price will vary according to a method determined by Chariot Energy as set forth in the EFL provided with your contract expiration notice. Solar BuyBack credits will not be issued for any bill cycle under the Default Renewal Product.  Automatic Bank Draft: You may conveniently pay your bill by automatic bank draft. The TDSP will notify you of the final status of your designation as a Critical Care or Chronic Condition Residential Customer and will notify you when such designation will expire and whether you will receive a renewal notice. ,,5.68¢,$5.47,1,
12/13/2019,TX,CENTERPOINT ENERGY HOUSTON ELECTRIC LLC,77494,CHAMPION ENERGY SERVICES LLC,Champ Saver-12,12.4 cents,11.8 cents,11.5 cents,Fixed,12 months,$150.00,$150.00   If applicable Champion will assess the termination fee for  termination of service prior to the end of the contract term.,16%,PDFs/CHAMPION ENERGY SERVICES LLC-1.pdf,Terms of Services/CHAMPION ENERGY SERVICES LLC-1.pdf,https://www.championenergyservices.com/Residential/Sign-Up?promo=powertochoose,https://docs.championenergyservices.com/ExternalDocs?planname=PN2391&state=TX&language=EN,https://web.championenergyservices.com/Portals/0/Documents/FulfillmentDocuments_TX/Residential/TOS/TEXAS_TOS_050118.pdf,(877) 653-5090,    What other fees may I be charged?,  ,  ,$0.00,7.2,,5,
