State,Zipcode,Website,TDU_Service_Territory,Pricing_Range,Minimum_Monthly_Cost,Maximum_Monthly_Cost,Minimum_Contract_Term,Maximum_Contract_Term,Date_Downloaded,Default_Monthly_kWh
Massachusetts,02453,http://www.energyswitchma.gov/#/,NSTAR d/b/a Eversource Energy,$0 to $500,0,500,3,60,11/10/19 15:56, 600
Massachusetts,02447,http://www.energyswitchma.gov/#/,NSTAR d/b/a Eversource Energy,$0 to $500,0,500,3,60,11/10/19 15:56, 600
Massachusetts,02269,http://www.energyswitchma.gov/#/,NSTAR d/b/a Eversource Energy,$0 to $500,0,500,3,60,11/10/19 15:56, 600
Massachusetts,02446,http://www.energyswitchma.gov/#/,NSTAR d/b/a Eversource Energy,$0 to $500,0,500,3,60,11/10/19 15:56, 600
Massachusetts,02452,http://www.energyswitchma.gov/#/,NSTAR d/b/a Eversource Energy,$0 to $500,0,500,3,60,11/10/19 15:56, 600
Massachusetts,02493,http://www.energyswitchma.gov/#/,NSTAR d/b/a Eversource Energy,$0 to $500,0,500,3,60,11/10/19 15:56, 600
Massachusetts,02478,http://www.energyswitchma.gov/#/,NSTAR d/b/a Eversource Energy,$0 to $500,0,500,3,60,11/10/19 15:56, 600
Massachusetts,02479,http://www.energyswitchma.gov/#/,NSTAR d/b/a Eversource Energy,$0 to $500,0,500,3,60,11/10/19 15:56, 600
Massachusetts,02451,http://www.energyswitchma.gov/#/,NSTAR d/b/a Eversource Energy,$0 to $500,0,500,3,60,11/10/19 15:56, 600
Massachusetts,02445,http://www.energyswitchma.gov/#/,NSTAR d/b/a Eversource Energy,$0 to $500,0,500,3,60,11/10/19 15:56, 600
Massachusetts,02492,http://www.energyswitchma.gov/#/,NSTAR d/b/a Eversource Energy,$0 to $500,0,500,3,60,11/10/19 15:56, 600
Massachusetts,02482,http://www.energyswitchma.gov/#/,NSTAR d/b/a Eversource Energy,$0 to $500,0,500,3,60,11/10/19 15:56, 600
Massachusetts,02455,http://www.energyswitchma.gov/#/,NSTAR d/b/a Eversource Energy,$0 to $500,0,500,3,60,11/10/19 15:56, 600
Massachusetts,02454,http://www.energyswitchma.gov/#/,NSTAR d/b/a Eversource Energy,$0 to $500,0,500,3,60,11/10/19 15:56, 600
Massachusetts,02468,http://www.energyswitchma.gov/#/,NSTAR d/b/a Eversource Energy,$0 to $500,0,500,3,60,11/10/19 15:56, 600
Massachusetts,02495,http://www.energyswitchma.gov/#/,NSTAR d/b/a Eversource Energy,$0 to $500,0,500,3,60,11/10/19 15:56, 600
Massachusetts,02481,http://www.energyswitchma.gov/#/,NSTAR d/b/a Eversource Energy,$0 to $500,0,500,3,60,11/10/19 15:56, 600
Massachusetts,02456,http://www.energyswitchma.gov/#/,NSTAR d/b/a Eversource Energy,$0 to $500,0,500,3,60,11/10/19 15:56, 600
Massachusetts,02457,http://www.energyswitchma.gov/#/,NSTAR d/b/a Eversource Energy,$0 to $500,0,500,3,60,11/10/19 15:56, 600
Massachusetts,02494,http://www.energyswitchma.gov/#/,NSTAR d/b/a Eversource Energy,$0 to $500,0,500,3,60,11/10/19 15:56, 600
Massachusetts,02169,http://www.energyswitchma.gov/#/,NSTAR d/b/a Eversource Energy,$0 to $500,0,500,3,60,11/10/19 15:56, 600
Massachusetts,02185,http://www.energyswitchma.gov/#/,NSTAR d/b/a Eversource Energy,$0 to $500,0,500,3,60,11/10/19 15:56, 600
Massachusetts,02191,http://www.energyswitchma.gov/#/,NSTAR d/b/a Eversource Energy,$0 to $500,0,500,3,60,11/10/19 15:56, 600
Massachusetts,02190,http://www.energyswitchma.gov/#/,NSTAR d/b/a Eversource Energy,$0 to $500,0,500,3,60,11/10/19 15:56, 600
Massachusetts,02184,http://www.energyswitchma.gov/#/,NSTAR d/b/a Eversource Energy,$0 to $500,0,500,3,60,11/10/19 15:56, 600
Massachusetts,02186,http://www.energyswitchma.gov/#/,NSTAR d/b/a Eversource Energy,$0 to $500,0,500,3,60,11/10/19 15:56, 600
Massachusetts,02421,http://www.energyswitchma.gov/#/,NSTAR d/b/a Eversource Energy,$0 to $500,0,500,3,60,11/10/19 15:56, 600
Massachusetts,02420,http://www.energyswitchma.gov/#/,NSTAR d/b/a Eversource Energy,$0 to $500,0,500,3,60,11/10/19 15:56, 600
Massachusetts,02187,http://www.energyswitchma.gov/#/,NSTAR d/b/a Eversource Energy,$0 to $500,0,500,3,60,11/10/19 15:56, 600
Massachusetts,02189,http://www.energyswitchma.gov/#/,NSTAR d/b/a Eversource Energy,$0 to $500,0,500,3,60,11/10/19 15:56, 600
Massachusetts,01720,http://www.energyswitchma.gov/#/,NSTAR d/b/a Eversource Energy,$0 to $500,0,500,3,60,11/10/19 15:56, 600
Massachusetts,02188,http://www.energyswitchma.gov/#/,NSTAR d/b/a Eversource Energy,$0 to $500,0,500,3,60,11/10/19 15:56, 600
Massachusetts,01718,http://www.energyswitchma.gov/#/,NSTAR d/b/a Eversource Energy,$0 to $500,0,500,3,60,11/10/19 15:56, 600
Massachusetts,01719,http://www.energyswitchma.gov/#/,NSTAR d/b/a Eversource Energy,$0 to $500,0,500,3,60,11/10/19 15:56, 600
Massachusetts,02170,http://www.energyswitchma.gov/#/,NSTAR d/b/a Eversource Energy,$0 to $500,0,500,3,60,11/10/19 15:56, 600
Massachusetts,02171,http://www.energyswitchma.gov/#/,NSTAR d/b/a Eversource Energy,$0 to $500,0,500,3,60,11/10/19 15:56, 600
Massachusetts,02472,http://www.energyswitchma.gov/#/,NSTAR d/b/a Eversource Energy,$0 to $500,0,500,3,60,11/10/19 15:56, 600
Massachusetts,02466,http://www.energyswitchma.gov/#/,NSTAR d/b/a Eversource Energy,$0 to $500,0,500,3,60,11/10/19 15:56, 600
Massachusetts,02467,http://www.energyswitchma.gov/#/,NSTAR d/b/a Eversource Energy,$0 to $500,0,500,3,60,11/10/19 15:56, 600
Massachusetts,02465,http://www.energyswitchma.gov/#/,NSTAR d/b/a Eversource Energy,$0 to $500,0,500,3,60,11/10/19 15:56, 600
Massachusetts,02471,http://www.energyswitchma.gov/#/,NSTAR d/b/a Eversource Energy,$0 to $500,0,500,3,60,11/10/19 15:56, 600
