Service Territory ,NSTAR d/b/a Eversource Energy
Customer Class,Residential

Product Filter
Pricing,$0 to $500
Contract Term,3 months to 60 months
Minimum Monthly cost,0
Maximum Monthly cost,500
Minimum Contract Term,3
Maximum Contract Term,60

Product Sorting,Monthly Cost: Low to High
Supplier Name,Pricing Structure,Price $/month,Price (cents/kWh),Introductory Price,Enrollment Fee,Contract Term,Cancellation Fee,Automatic Renewal,Renewable Energy Content %,100% New Regional Resources,Additional Products/Services,Estimated Monthly Cost
"NSTAR d/b/a Eversource Energy"," "," ","10.836 cents/kWh|TBD"," "," ","Jul '19 through Dec '19 |Jan '20 through Jun '20 "," "," "," "," "," ","$65.02"
"Town Square Energy","Fixed"," ","10.420 cents/kWh"," "," ","12 months"," ","Variable-price product"," ","No","","$62.52"
"Residents Energy","Fixed"," ","10.470 cents/kWh"," "," ","12 months","$10.00 per month remaining on term","Variable-price product"," ","No","","$62.82"
"Starion Energy","Fixed"," ","10.490 cents/kWh"," "," ","12 months"," ","Variable-price product"," ","No","Gift Card,Rewards Programs","$62.94"
"Starion Energy","Fixed"," ","10.790 cents/kWh"," "," ","12 months"," ","Variable-price product","100%","No","Gift Card,Rewards Programs","$64.74"
"Town Square Energy","Fixed"," ","10.970 cents/kWh"," "," ","36 months","$50.00","Variable-price product"," ","No","","$65.82"
"Liberty Power Holdings","Fixed"," ","10.988 cents/kWh"," "," ","36 months","$10.00 per month remaining on term","Variable-price product"," ","No","Gift Card","$65.93"
"Starion Energy","Fixed"," ","10.990 cents/kWh"," "," ","8 months"," ","Variable-price product"," ","No","Gift Card,Rewards Programs","$65.94"
"Constellation New Energy","Fixed"," ","11.090 cents/kWh"," "," ","12 months","$150.00","Variable-price product"," ","No","","$66.54"
"Liberty Power Holdings","Fixed"," ","11.188 cents/kWh"," "," ","36 months","$10.00 per month remaining on term","Variable-price product","100%","No","Gift Card","$67.13"
"Starion Energy","Fixed"," ","11.290 cents/kWh"," "," ","8 months"," ","Variable-price product","100%","No","Gift Card,Rewards Programs","$67.74"
"Town Square Energy","Fixed"," ","11.570 cents/kWh"," "," ","24 months","$50.00","Variable-price product"," ","No","","$69.42"
"Liberty Power Holdings","Fixed"," ","11.588 cents/kWh"," "," ","24 months","$10.00 per month remaining on term","Variable-price product","100%","No","Gift Card","$69.53"
"Think Energy","Fixed"," ","11.600 cents/kWh"," "," ","24 months","$45.00","No automatic renewal","100%","No","","$69.60"
"Energy Rewards","Fixed"," ","11.890 cents/kWh"," "," ","6 months","$50.00","Fixed-price product"," ","No","","$71.34"
"Residents Energy","Fixed"," ","11.990 cents/kWh"," "," ","24 months","$10.00 per month remaining on term","Variable-price product"," ","No","","$71.94"
"Think Energy","Fixed"," ","12.000 cents/kWh"," "," ","12 months","$45.00","No automatic renewal","100%","No","","$72.00"
"Direct Energy Services","Fixed"," ","12.190 cents/kWh"," "," ","14 months"," ","Variable-price product","100%","No","","$73.14"
"Just Energy Massachusetts","Fixed"," ","12.390 cents/kWh"," "," ","36 months","$50.00","Variable-price product"," ","No","Rewards Programs","$74.34"
"Just Energy Massachusetts","Fixed"," ","12.490 cents/kWh"," "," ","24 months","$50.00","Variable-price product"," ","No","Rewards Programs","$74.94"
"Constellation New Energy","Fixed"," ","12.490 cents/kWh"," "," ","6 months","$150.00","Variable-price product"," ","No","","$74.94"
"Massachusetts Gas & Electric","Fixed"," ","12.490 cents/kWh"," "," ","12 months","$10.00 per month remaining on term","Variable-price product"," ","No","","$74.94"
