State,Zipcode,Website,Service Territory,Customer Class,Pricing,Contract Term,Minimum Monthly Cost,Maximum Monthly Cost,Minimum Contract Term,Maximum Contract Term,Date Downloaded,Default_Monthly_kWh
Massachusetts,ma_02453,http://www.energyswitchma.gov/#/,NSTAR d/b/a Eversource Energy,Residential,$0 to $500,60,0,500,3,60,11/10/19 15:39, 600
Massachusetts,ma_02447,http://www.energyswitchma.gov/#/,NSTAR d/b/a Eversource Energy,Residential,$0 to $500,60,0,500,3,60,11/10/19 15:39, 600
Massachusetts,ma_02269,http://www.energyswitchma.gov/#/,NSTAR d/b/a Eversource Energy,Residential,$0 to $500,60,0,500,3,60,11/10/19 15:39, 600
Massachusetts,ma_02446,http://www.energyswitchma.gov/#/,NSTAR d/b/a Eversource Energy,Residential,$0 to $500,60,0,500,3,60,11/10/19 15:39, 600
Massachusetts,ma_02452,http://www.energyswitchma.gov/#/,NSTAR d/b/a Eversource Energy,Residential,$0 to $500,60,0,500,3,60,11/10/19 15:39, 600
Massachusetts,ma_02493,http://www.energyswitchma.gov/#/,NSTAR d/b/a Eversource Energy,Residential,$0 to $500,60,0,500,3,60,11/10/19 15:39, 600
Massachusetts,ma_02478,http://www.energyswitchma.gov/#/,NSTAR d/b/a Eversource Energy,Residential,$0 to $500,60,0,500,3,60,11/10/19 15:39, 600
Massachusetts,ma_02479,http://www.energyswitchma.gov/#/,NSTAR d/b/a Eversource Energy,Residential,$0 to $500,60,0,500,3,60,11/10/19 15:39, 600
Massachusetts,ma_02451,http://www.energyswitchma.gov/#/,NSTAR d/b/a Eversource Energy,Residential,$0 to $500,60,0,500,3,60,11/10/19 15:39, 600
Massachusetts,ma_02445,http://www.energyswitchma.gov/#/,NSTAR d/b/a Eversource Energy,Residential,$0 to $500,60,0,500,3,60,11/10/19 15:39, 600
Massachusetts,ma_02492,http://www.energyswitchma.gov/#/,NSTAR d/b/a Eversource Energy,Residential,$0 to $500,60,0,500,3,60,11/10/19 15:39, 600
Massachusetts,ma_02482,http://www.energyswitchma.gov/#/,NSTAR d/b/a Eversource Energy,Residential,$0 to $500,60,0,500,3,60,11/10/19 15:39, 600
Massachusetts,ma_02455,http://www.energyswitchma.gov/#/,NSTAR d/b/a Eversource Energy,Residential,$0 to $500,60,0,500,3,60,11/10/19 15:39, 600
Massachusetts,ma_02454,http://www.energyswitchma.gov/#/,NSTAR d/b/a Eversource Energy,Residential,$0 to $500,60,0,500,3,60,11/10/19 15:39, 600
Massachusetts,ma_02468,http://www.energyswitchma.gov/#/,NSTAR d/b/a Eversource Energy,Residential,$0 to $500,60,0,500,3,60,11/10/19 15:39, 600
Massachusetts,ma_02495,http://www.energyswitchma.gov/#/,NSTAR d/b/a Eversource Energy,Residential,$0 to $500,60,0,500,3,60,11/10/19 15:39, 600
Massachusetts,ma_02481,http://www.energyswitchma.gov/#/,NSTAR d/b/a Eversource Energy,Residential,$0 to $500,60,0,500,3,60,11/10/19 15:39, 600
Massachusetts,ma_02456,http://www.energyswitchma.gov/#/,NSTAR d/b/a Eversource Energy,Residential,$0 to $500,60,0,500,3,60,11/10/19 15:39, 600
Massachusetts,ma_02457,http://www.energyswitchma.gov/#/,NSTAR d/b/a Eversource Energy,Residential,$0 to $500,60,0,500,3,60,11/10/19 15:39, 600
Massachusetts,ma_02494,http://www.energyswitchma.gov/#/,NSTAR d/b/a Eversource Energy,Residential,$0 to $500,60,0,500,3,60,11/10/19 15:39, 600
Massachusetts,ma_02169,http://www.energyswitchma.gov/#/,NSTAR d/b/a Eversource Energy,Residential,$0 to $500,60,0,500,3,60,11/10/19 15:39, 600
Massachusetts,ma_02185,http://www.energyswitchma.gov/#/,NSTAR d/b/a Eversource Energy,Residential,$0 to $500,60,0,500,3,60,11/10/19 15:39, 600
Massachusetts,ma_02191,http://www.energyswitchma.gov/#/,NSTAR d/b/a Eversource Energy,Residential,$0 to $500,60,0,500,3,60,11/10/19 15:39, 600
Massachusetts,ma_02190,http://www.energyswitchma.gov/#/,NSTAR d/b/a Eversource Energy,Residential,$0 to $500,60,0,500,3,60,11/10/19 15:39, 600
Massachusetts,ma_02184,http://www.energyswitchma.gov/#/,NSTAR d/b/a Eversource Energy,Residential,$0 to $500,60,0,500,3,60,11/10/19 15:39, 600
Massachusetts,ma_02186,http://www.energyswitchma.gov/#/,NSTAR d/b/a Eversource Energy,Residential,$0 to $500,60,0,500,3,60,11/10/19 15:39, 600
Massachusetts,ma_02421,http://www.energyswitchma.gov/#/,NSTAR d/b/a Eversource Energy,Residential,$0 to $500,60,0,500,3,60,11/10/19 15:39, 600
Massachusetts,ma_02420,http://www.energyswitchma.gov/#/,NSTAR d/b/a Eversource Energy,Residential,$0 to $500,60,0,500,3,60,11/10/19 15:39, 600
Massachusetts,ma_02187,http://www.energyswitchma.gov/#/,NSTAR d/b/a Eversource Energy,Residential,$0 to $500,60,0,500,3,60,11/10/19 15:39, 600
Massachusetts,ma_02189,http://www.energyswitchma.gov/#/,NSTAR d/b/a Eversource Energy,Residential,$0 to $500,60,0,500,3,60,11/10/19 15:39, 600
Massachusetts,ma_01720,http://www.energyswitchma.gov/#/,NSTAR d/b/a Eversource Energy,Residential,$0 to $500,60,0,500,3,60,11/10/19 15:39, 600
Massachusetts,ma_02188,http://www.energyswitchma.gov/#/,NSTAR d/b/a Eversource Energy,Residential,$0 to $500,60,0,500,3,60,11/10/19 15:39, 600
Massachusetts,ma_01718,http://www.energyswitchma.gov/#/,NSTAR d/b/a Eversource Energy,Residential,$0 to $500,60,0,500,3,60,11/10/19 15:39, 600
Massachusetts,ma_01719,http://www.energyswitchma.gov/#/,NSTAR d/b/a Eversource Energy,Residential,$0 to $500,60,0,500,3,60,11/10/19 15:39, 600
Massachusetts,ma_02170,http://www.energyswitchma.gov/#/,NSTAR d/b/a Eversource Energy,Residential,$0 to $500,60,0,500,3,60,11/10/19 15:39, 600
Massachusetts,ma_02171,http://www.energyswitchma.gov/#/,NSTAR d/b/a Eversource Energy,Residential,$0 to $500,60,0,500,3,60,11/10/19 15:39, 600
Massachusetts,ma_02472,http://www.energyswitchma.gov/#/,NSTAR d/b/a Eversource Energy,Residential,$0 to $500,60,0,500,3,60,11/10/19 15:39, 600
Massachusetts,ma_02466,http://www.energyswitchma.gov/#/,NSTAR d/b/a Eversource Energy,Residential,$0 to $500,60,0,500,3,60,11/10/19 15:39, 600
Massachusetts,ma_02467,http://www.energyswitchma.gov/#/,NSTAR d/b/a Eversource Energy,Residential,$0 to $500,60,0,500,3,60,11/10/19 15:39, 600
Massachusetts,ma_02465,http://www.energyswitchma.gov/#/,NSTAR d/b/a Eversource Energy,Residential,$0 to $500,60,0,500,3,60,11/10/19 15:39, 600
Massachusetts,ma_02471,http://www.energyswitchma.gov/#/,NSTAR d/b/a Eversource Energy,Residential,$0 to $500,60,0,500,3,60,11/10/19 15:39, 600
Massachusetts,ma_02459,http://www.energyswitchma.gov/#/,NSTAR d/b/a Eversource Energy,Residential,$0 to $500,60,0,500,3,60,11/10/19 15:39, 600
