Supplier_Name,Rate_Type,Fixed_Charge,Variable_Rate,Introductory_Rate,Introductory_Price_Value,Enrollment_Fee,Contract_Term,Early_Termination_Fee,Automatic_Renewal_Type,Automatic_Renewal_Detail,Percent_Renewable,Renewable_Description,Incentives_Special_Terms,Incumbent_Flag,Estimated_Cost,Other_Product_Services,Zipcode,Date_Downloaded
NSTAR d/b/a Eversource Energy,,,0.10836,False,,,Jul '19 through Dec '19 |Jan '20 through Jun '20 ,,False,,0.0,,,True,73.2484,,02467,12/02/19 00:26
SmartEnergy,Fixed,,0.149,False,,,6 months,,True,Automatic renewal: Variable-price product,100.0,Other | 100%,,False,89.4,,02467,12/02/19 00:26
Sunwave Gas & Power,Fixed,,0.12815,False,,,9 months,$50.00,True,Automatic renewal: Fixed-price product,0.0,,,False,76.89,,02467,12/02/19 00:26
Eligo Energy MA,Fixed,,0.14400000000000002,False,,,6 months,$10.00 per month remaining on term,True,Automatic renewal: Variable-price product,100.0,Unknown | 100%,,False,86.4,,02467,12/02/19 00:26
Just Energy Massachusetts,Fixed,,0.12390000000000001,False,,,36 months,$50.00,True,Automatic renewal: Variable-price product,0.0,,"You’ll receive 16,000 Just Energy Perks points equivalent to $160 and 2 FREE LED bulbs.
Visit www.justenergyperks.com",False,74.34,Rewards Programs,02467,12/02/19 00:26
Eligo Energy MA,Fixed,,0.1348,False,,,12 months,$10.00 per month remaining on term,True,Automatic renewal: Variable-price product,0.0,,,False,80.88,,02467,12/02/19 00:26
Think Energy,Fixed,,0.11599999999999999,False,,,24 months,$45.00,False,No automatic renewal,100.0,Unknown | 100%,,False,69.6,,02467,12/02/19 00:26
Massachusetts Gas & Electric,Fixed,,0.1249,False,,,12 months,$10.00 per month remaining on term,True,Automatic renewal: Variable-price product,0.0,,,False,74.94,,02467,12/02/19 00:26
Starion Energy,Fixed,,0.1079,False,,,12 months,,True,Automatic renewal: Variable-price product,100.0,Wind | 100%,$25 Amazon.com gift card. Limited time offer for new customers only. Must be an active Starion Energy customer at time of redemption.|Starion Rewards is a free rewards program available exclusively to active Starion Energy customers. Learn more at www.starionrewards.com.,False,64.74,"Gift Card,Rewards Programs",02467,12/02/19 00:26
Indra Energy MA,Fixed,,0.16399999999999998,True,13.40 ¢/kWh for initial 1 months,,18 months,,True,Automatic renewal: Variable-price product,100.0,Other | 100%,,False,97.4,,02467,12/02/19 00:26
NRG Home,Fixed,,0.135,False,,,12 months,$10.00 per month remaining on term,True,Automatic renewal: Variable-price product,0.0,,,False,81.0,,02467,12/02/19 00:26
Discount Power,Fixed,,0.128,False,,,36 months,$200.00,True,Automatic renewal: Variable-price product,100.0,Wind | 100%,Eligible for a $100 monthly shopping and dining reward upon successful service start with Discount Power,False,76.8,Rewards Programs,02467,12/02/19 00:26
Town Square Energy,Fixed,,0.13970000000000002,False,,,12 months,,True,Automatic renewal: Variable-price product,100.0,Wind | 100%,,False,83.82,,02467,12/02/19 00:26
NRG Home,Fixed,,0.149,False,,,6 months,$10.00 per month remaining on term,True,Automatic renewal: Variable-price product,0.0,,,False,89.4,,02467,12/02/19 00:26
Eligo Energy MA,Fixed,,0.1368,False,,,12 months,$10.00 per month remaining on term,True,Automatic renewal: Variable-price product,100.0,Unknown | 100%,,False,82.08,,02467,12/02/19 00:26
Ambit Energy,Fixed,,0.125,False,,,12 months,,True,Automatic renewal: Variable-price product,0.0,,,False,75.0,,02467,12/02/19 00:26
Eligo Energy MA,Fixed,,0.142,False,,,6 months,$10.00 per month remaining on term,True,Automatic renewal: Variable-price product,0.0,,,False,85.2,,02467,12/02/19 00:26
CleanChoice Energy,Fixed,,0.128,False,,,12 months,,True,Automatic renewal: Fixed-price product,100.0,"Solar | 1%, Wind | 99%","Refer today and we'll send both you and your friend $25 when their enrollment is complete https://cleanchoiceenergy.com/refer-a-friend/|Choose 100% clean, pollution-free wind & solar with CleanChoice Energy today and get a $50 Gift Card.* Sign up online or call. *Terms Apply",False,76.8,"Rewards Programs,Sponsored Promotions",02467,12/02/19 00:26
Starion Energy,Fixed,,0.11289999999999999,False,,,8 months,,True,Automatic renewal: Variable-price product,100.0,Wind | 100%,$25 Amazon.com gift card. Limited time offer for new customers only. Must be an active Starion Energy customer at time of redemption.|Starion Rewards is a free rewards program available exclusively to active Starion Energy customers. Learn more at www.starionrewards.com.,False,67.74,"Gift Card,Rewards Programs",02467,12/02/19 00:26
Constellation New Energy,Fixed,,0.12789999999999999,False,,,24 months,$150.00,True,Automatic renewal: Fixed-price product,100.0,Wind | 100%,,False,76.74,,02467,12/02/19 00:26
Discount Power,Fixed,,0.12,False,,$50.00 enrollment fee,12 months,$50.00,True,Automatic renewal: Variable-price product,100.0,Wind | 100%,,False,76.1666,,02467,12/02/19 00:26
Ambit Energy,Fixed,,0.1475,False,,,6 months,,True,Automatic renewal: Variable-price product,0.0,,,False,88.5,,02467,12/02/19 00:26
Just Energy Massachusetts,Fixed,,0.1249,False,,,24 months,$50.00,True,Automatic renewal: Variable-price product,0.0,,"You’ll receive 12,000 Just Energy Perks points equivalent to $120 and 2 FREE LED bulbs.
Visit www.justenergyperks.com",False,74.94,Rewards Programs,02467,12/02/19 00:26
Massachusetts Gas & Electric,Fixed,,0.1309,False,,,24 months,$10.00 per month remaining on term,True,Automatic renewal: Variable-price product,0.0,,,False,78.54,,02467,12/02/19 00:26
Discount Power,Fixed,$4.95/month + ,0.125,False,,,12 months,$50.00,True,Automatic renewal: Variable-price product,100.0,Wind | 100%,Eligible for a $100 monthly shopping and dining reward upon successful service start with Discount Power,False,79.95,Rewards Programs,02467,12/02/19 00:26
SFE Energy Massachusetts,Fixed,,0.1369,True,12.32 ¢/kWh for initial 1 months,,36 months,$2.50 per month remaining on term,True,Automatic renewal: Fixed-price product,0.0,,,False,81.9116,,02467,12/02/19 00:26
Constellation New Energy,Fixed,,0.1249,False,,,6 months,$150.00,True,Automatic renewal: Variable-price product,0.0,,,False,74.94,,02467,12/02/19 00:26
SFE Energy Massachusetts,Fixed,,0.1567,True,14.30 ¢/kWh for initial 1 months,,36 months,$2.50 per month remaining on term,True,Automatic renewal: Fixed-price product,0.0,,"SFE will purchase and retire, an amount of Emissions Credits to offset 100% of CO2 or CO2e produced based on your Electricity usage amount.|If you don’t save money over the course of your
term, you will be eligible for up to a $75 rebate for
your 3-year program",False,93.7916,"Carbon Offset,Cash Back",02467,12/02/19 00:26
IGS Energy,Fixed,,0.12789999999999999,False,,,36 months,$99.00,True,Automatic renewal: Variable-price product,100.0,Wind | 100%,,False,76.74,,02467,12/02/19 00:26
Sunwave Gas & Power,Fixed,,0.14205,False,,,6 months,$50.00,True,Automatic renewal: Fixed-price product,0.0,,,False,85.23,,02467,12/02/19 00:26
Town Square Energy,Fixed,,0.1157,False,,,24 months,$50.00,True,Automatic renewal: Variable-price product,0.0,,,False,69.42,,02467,12/02/19 00:26
Think Energy,Fixed,,0.132,False,,,6 months,$45.00,False,No automatic renewal,100.0,Unknown | 100%,,False,79.2,,02467,12/02/19 00:26
Verde Energy USA,Fixed,,0.12990000000000002,False,,,24 months,,True,Automatic renewal: Variable-price product,100.0,"Hydro | 1%, Other | 99%",$100 rebate- Receive the first $50 after one month of service and the second $50 after 6 months of service.,False,77.94,Cash Back,02467,12/02/19 00:26
Town Square Energy,Fixed,,0.1042,False,,,12 months,,True,Automatic renewal: Variable-price product,0.0,,,False,62.52,,02467,12/02/19 00:26
Starion Energy,Fixed,,0.10490000000000001,False,,,12 months,,True,Automatic renewal: Variable-price product,0.0,,$25 Amazon.com gift card. Limited time offer for new customers only. Must be an active Starion Energy customer at time of redemption.|Starion Rewards is a free rewards program available exclusively to active Starion Energy customers. Learn more at www.starionrewards.com.,False,62.94,"Gift Card,Rewards Programs",02467,12/02/19 00:26
Verde Energy USA,Fixed,,0.1499,False,,,6 months,,True,Automatic renewal: Variable-price product,100.0,"Hydro | 1%, Other | 99%",,False,89.94,,02467,12/02/19 00:26
Think Energy,Fixed,,0.132,False,,,18 months,$45.00,False,No automatic renewal,100.0,Unknown | 100%,,False,79.2,,02467,12/02/19 00:26
Energy Rewards,Fixed,,0.1189,False,,,6 months,$50.00,True,Automatic renewal: Fixed-price product,0.0,,,False,71.34,,02467,12/02/19 00:26
Constellation New Energy,Fixed,,0.12990000000000002,False,,,12 months,$150.00,True,Automatic renewal: Fixed-price product,100.0,Wind | 100%,,False,77.94,,02467,12/02/19 00:26
Discount Power,Fixed,,0.13,False,,,24 months,$100.00,True,Automatic renewal: Variable-price product,100.0,Wind | 100%,Eligible for a $100 monthly shopping and dining reward upon successful service start with Discount Power,False,78.0,Rewards Programs,02467,12/02/19 00:26
Think Energy,Fixed,,0.12,False,,,12 months,$45.00,False,No automatic renewal,100.0,Unknown | 100%,,False,72.0,,02467,12/02/19 00:26
Indra Energy MA,Fixed,,0.162,True,13.40 ¢/kWh for initial 1 months,,14 months,,True,Automatic renewal: Variable-price product,0.0,,,False,96.0,,02467,12/02/19 00:26
