
Date Downloaded,State,TDU Service Territory,Zip,Supplier Name,Plan Name,Variable Rate 500kWh,Variable Rate 1000kWh,Variable Rate 2000kWh,Rate Type,Contract Term,Cancellation Fee,Termination Fee Details,Percent Renewable,Fact Sheet Name,Terms of Services Name,URL,Fact Sheet,Terms of Service,Enroll Phone,Additional Fees,Minimum Usage Fee,Renewal Details,Base Charge,Energy Charge,Delivery Charge, Company Rating
12/13/2019,TX,ONCOR ELECTRIC DELIVERY COMPANY,76567,DIRECT ENERGY,Live Brighter 5,8.5 cents,7.7 cents,7.3 cents,Fixed,5 months,$135.00,Yes $135.00,15%,PDFs/DIRECT ENERGY-1.pdf,Terms of Services/DIRECT ENERGY-1.pdf,https://www.directenergy.com/texas/electricity-plans/live-brighter-5-ptc/msid/62/pid/?utm_source=BD&utm_medium=PTC,https://refer.directenergy.com/ImageServer/Documents/DocumentName?type=EFL&name=FDORXXX4042_ENG_20191204.PDF,https://refer.directenergy.com/ImageServer/Documents/DocumentName?type=TOS&name=DE_FIXED_TOS_ENG_20191007.pdf,(877) 697-7560, Disclosure  ChartWhat other fees may I be charged?,  ,   Other Key Terms and QuestionsSee Terms of Service document for a listing of fees deposit policy pricing for a default month-to-month renewal product and other terms.,$4.95,3.0¢,$3.42,4,
12/13/2019,TX,ONCOR ELECTRIC DELIVERY COMPANY,76567,PULSE POWER LLC,Texas Fixed 12 ,12.0 cents,11.5 cents,11.2 cents,Fixed,12 months,$20/month remaining ,Yes Pulse Power will assess a termination fee of $20.00,15%,PDFs/PULSE POWER LLC-2.pdf,Terms of Services/PULSE POWER LLC-2.pdf,http://www.pulsepowertexas.com/enrollment?promocode=PTC,https://www.pulsepowertexas.com/EmailHTML/efl.aspx?RateID=443&BrandID=1&PromoCodeID=280,https://www.pulsepowertexas.com/docs/default-source/enrollment-files/tos.pdf,(888) 785-7797,CustomerunderstandsthattheTDUmaychargeanadditionalfeepertheterms ofitsT ariffforaself-selectedswitchandthatCompanywillpass-throughandCustomerwillpayanysuchcostswhich will be passed through without mark-up.Customeris alsoresponsibleforpayinganynonrecurringfeesandchargesfromtheTDUincludingbutnotlimitedtofeesand chargesrelatedtoestablishingdisconnectingreconnectingormaintainingelectricserviceorequipment.00in additiontoanycostschargedtoCompanybytheTDUforsuchservice((a)-(d)collectivelydefinedasFees)taxesor other charges that are assessed to the Customer and excluded from the Price as listed on the Agreement Summary . The above averages exclude non-recurring charges from the TDU other fees as stated in the Terms of Service state and local sales tax the PUC Assessment and gross receipts reimbursements.  Disclosure What other fees may ,  ,UnlessspecificallystatedotherwiseCompanymaydelivercopiesof thisAgreementandotheraccountinformationincludingenrollmentconfirmationandAgreementexpirationnotices viaemail.IntheRenewalNoticeCompanywillexplaintherenewaloptions.Thisauthorizationwillremaininef fectfromthe dateCustomerexecutesthisAgreementthroughtheInitialT ermandanyRenewalT erm.Afinaltrue-upwillbemadeiftheaccountisterminatedorthisAgreementexpiresbutsuchtrueupwilloccuratleasteverytwelve(12)billingcycles.TheTDUwillnotifyCustomerandCompanyofthefinaldeterminationofwhetherCustomerhasbeen designatedasCriticalCareCustomeroraChronicConditionCustomerandwhetherCustomerwillreceivearenewal noticeofCustomer Pleasebeaware thatifCustomeractsafterthe14dayshasexpiredaterminationpenaltyshallapply . TheprovisionsofthisAgreementconcerningpaymentlimitationofliability andwaiverswillsurvivetheterminationor expirationofthisAgreement. ,,$4.95,11.0¢,1,
12/13/2019,TX,ONCOR ELECTRIC DELIVERY COMPANY,76567,CHARIOT ENERGY,Transparent 12,9.0 cents,9.0 cents,9.0 cents,Fixed,12 months,$15 per remaining month,Yes $15.00 multiplied by the number of months remaining on the term associated with terminating service?,100%,PDFs/CHARIOT ENERGY-3.pdf,Terms of Services/CHARIOT ENERGY-3.pdf,https://signup.mychariotenergy.com/Home/index?ProductCode=RN12000074&Promo=PTC,https://signup.mychariotenergy.com/Home/EFl?productId=24888,https://signup.mychariotenergy.com/Home/TOS?productId=24888,(855) 524-2746, Your EFL price reflects the inclusion of all TDSP recurring charges. The price non-recurring fees and Taxes will be reflected on your monthly bill as Current Charges.  Non-Recurring Fees and Charges  You agree to pay non-recurring fees charged by the TDSP that are necessary to implement and Non-recurring fees by the TDSP may include service connection disconnection or reconnection fees meter test fees or special out-of-cycle meter read fees. That average monthly usage will then be multipled by your contracted price for electricity (which includes all monthly recurring charges).  Disclosure Chart  What other fees may   Fees not included in price above: Disconnect Notice Fee: $10; Insufficient Funds Fee: $35; Disconnect Due to Non-Pay Fee: $25; Late Payment Penalty: 5% of past due balances; please refer to the NonRecurring Fees and Charges section of Terms of Service for a full listing of non-recurring fees.,  Chariot Energy Base Monthly Charge Electricity Price Chariot Energy Minimum Usage Charge Chariot Energy Residential Usage Credit  Oncor Delivery Charges  9, Any Third-Party Services that are included on your bill will automatically terminate when your electric service contract wth us is cancelled.00 NSF Fee for payments returned for insufficient funds by any method of payment including but not limited to bank or personal check automatic payment plan account deduction or credit If the documentation conflicts with the value you provided upon enrollment we reserve the right to cancel this agreement without notice and transfer your account to the Default Renewal Product effective at the start of your next billing cycle. You have the right to terminate your contract without penalty if you terminate your contract within 14 days of its expiration date.  Default Renewal Product: The Default Renewal Product applies to customers whose contract term has expired and who have not selected a new fixed rate contract term. Your price will vary according to a method determined by Chariot Energy as set forth in the EFL provided with your contract expiration notice. Solar BuyBack credits will not be issued for any bill cycle under the Default Renewal Product.  Automatic Bank Draft: You may conveniently pay your bill by automatic bank draft. The TDSP will notify you of the final status of your designation as a Critical Care or Chronic Condition Residential Customer and will notify you when such designation will expire and whether you will receive a renewal notice. ,,,9¢,1,
12/13/2019,TX,ONCOR ELECTRIC DELIVERY COMPANY,76567,JUST ENERGY,PTC Plan - 12,10.8 cents,10.8 cents,10.8 cents,Fixed,12 months,$,$0.,10%,PDFs/JUST ENERGY.pdf,Terms of Services/JUST ENERGY.pdf,https://www.justenergy.com/affiliatepartner/ptc,https://webs.justenergydeals.com/Generate_Docs/Generate_EflLinks.aspx?RID=LhAgdubfKBY=&RCID=nnkoyMHsHd8=&L=6f+Ch9flI7k=,https://webs.justenergydeals.com/Generate_Docs/TosyracLink.aspx?RID=LhAgdubfKBY=&RCID=nnkoyMHsHd8=&L=6f+Ch9flI7k=,(866) 587-8674, 00  and (iv) all recurring charges. The average price does not include state and local sales taxes reimbursement for the state miscellaneous gross receipts  tax or non-recurring charges such as (for illustration purposes only) special meter read What other fees may I be charged?, Advanced Metering Charge:  a charge    Agreement:   Base Charge:    Connection Balance:     Current Balance:  Customer:    Disconnection Balance:    Energy Charge:   ERCOT:   ESIID:   Future Use:    JE AutoPay:     JustGreen:     Just Energy:   Minimum Usage Credit , Renewal. For term contracts notice of contract expiration and  renewal offer will be sent no less than 30 days before the  expiration of the Agreement Term. This exemption from disconnection due to critical care shall be in effect for 63 days and may be applied for again after  the 63 days has expired and the deferred payment plan has been fulfilled. ,$0.00,$0.00,,2,
12/13/2019,TX,ONCOR ELECTRIC DELIVERY COMPANY,76567,AMBIT ENERGY,Lone Star Classic 6,11.8 cents,10.5 cents,9.8 cents,Fixed,6 months,$100.00,An early termination fee of $100.00 only applies if you cancel prior to your term expiration date.,15%,PDFs/AMBIT ENERGY-3.pdf,Terms of Services/AMBIT ENERGY-3.pdf,http://www.ambitenergy.com,https://mediaserver.ambitenergy.com/media/get/TXUNBUNDLED_6ENR1650_283_1/EN,https://mediaserver.ambitenergy.com/media/get/TexasTermsOfService,(877) 282-6248, The price on the EFL does not include non-recurring  fees charged by the TDU Ambit Energy non-recurring fees noted in this  Agreement ERCOT charges fees imposed by any government entity and taxes  all of which will appear as separate line items on your bill and which you agree  to pay as they occur. You may be charged non-recurring fees that  originate from the TDU.    You may be charged non-recurring fees for services Ambit  Energy provides which will apply in cases as described below. The Non-Recurring Ambit Energy Fees  listed below do not include TDU non-recurring fees which will also appear as  separate line items on your bill.  What other fees may ,  , If you fail to renew your electric service contract before it expires  you will automatically continue to be served by Ambit Energy pursuant to a  default variable-price product on a month-to-month basis unless you select  another product or REP.00 only applies if you cancel prior to your term expiration date.,$9.95,$0.0532,$0.038447,2,
12/13/2019,TX,ONCOR ELECTRIC DELIVERY COMPANY,76567,WINDROSE ENERGY,Windrose Saver 30,9.4 cents,9.1 cents,8.9 cents,Fixed,30 months,$150.00,Yes; $150 One time associated with terminating service?,15%,PDFs/WINDROSE ENERGY-1.pdf,Terms of Services/WINDROSE ENERGY-1.pdf,https://signup.windroseenergy.com/Home/index?ProductCode=RNR30001039,https://signup.windroseenergy.com/Home/EFl?productId=89656,https://signup.windroseenergy.com/Home/TOS?productId=85149,(800) 483-1836, The price non-recurring fees and Taxes will be reflected on your monthly bill as Current Charges.  Non-Recurring Fees and Charges  You agree to pay non-recurring fees charged by the transmission and distribution utility (TDU) that are necessary to implement and Non-recurring fees by the TDU may include a meter installation fee connection fee disconnection or reconnection fees meter tampering broken meter seal temporary disconnect Non-recurring fees will appear as a separate line item on your bill.com  energy  Additionally WINDROSE may assess the following Non-Recurring fees as listed below. That average monthly usage will then be multiplied by your contracted price for electricity (which includes all monthly recurring charges and excludes taxes reinbursements non-recurring TDU Charges and other nonrecurring charges) plus an additional 15 percent.  See non-recurring fees and charges section in your Terms of Service fora What other fees may ,   Minimum usage charge of SO will be applied if usage is less than 500 kWh per billing cycle.  Other Key Terms  .,  Any Third-Party Services that are included on your bill will automatically terminate when your electric service contract wth us is cancelled. For electronic fund transfers ACH personal check or automatic payment plan account deduction.  Contract Expiration Notice: A contract expiration notice will be sent to you at least 30 days but not more than 60 days before the end of your initial contract term specified in your EFL. If you do not take action to ensure that you continue to receive service upon the expiration of your contract you will continue to be served by us automatically under a default renewal product on a monthly basis after the end of your initial contract term until you switch to another provider select another WINDROSE electric service plan or we terminate or disconnect your electric service.  Default Renewal Product: The Default Renewal Product applies to customers whose contract term has expired and who have not selected a new fixed rate contract term. Your price will vary according to a method determined by WINDROSE as set forth in the EFL provided with your contract expiration notice. Automatic Bank Draft: You may conveniently pay your bill by automatic bank draft (ACH) wth WINDROSE via Auto Pay. The TDU will notify you of the final status of your designation as a Critical Care or Chronic Condition Residential Customer and will notify you wmmnen such designation will expire and whether you will receive a renewal notice. ,SO,4.9¢,$3.42,5,
12/13/2019,TX,ONCOR ELECTRIC DELIVERY COMPANY,76567,TXU ENERGY,Value Edge 12,14.2 cents,9.9 cents,12.7 cents,Fixed,12 months,$150.00,$150.00,6%,PDFs/TXU ENERGY-3.pdf,Terms of Services/TXU ENERGY-3.pdf,http://www.txu.com/ptc/valueedge12,https://www.txu.com/Handlers/PDFGenerator.ashx?comProdId=ONX30VALED12AO&lang=en&formType=EnergyFactsLabel&custClass=3&tdsp=ER_ONCOR,https://www.txu.com/~/media/Files/Marketing/Residential/Other-PDFs/TOSA.pdf,(855) 847-6135,   Taxes and other charges for residential customers may be  different than those for business customers.   The average prices disclosed on  your EFL include recurring charges which are  charges that we expect to  bill you on a regular basis.           What are  TDU non recurring fees ?     What non recurring fees  other than  TDU   fees  can I be charged?      Other Fees      If additional fees apply to your product they will be  described in your  EFL.        TXU Energy Express Pay      You can choose to pa y your bill by credit  card debit card or electronic check for no additional charge by calling our  automated telephone service or by visiting  our website .Average prices per kWh listed above do not include facility relocation fees or other charges ordered by a municipality.DisclosureChartWhat other fees may I be charged?,  ,   CONTRACT EXPIRATION NOTICE   If you  are on   product that has a contract term of at least three months we  will send you a written notice at least  30  days  or one billing cycle prior to  the date of contract expiration but no more than 60 days or two billing  cycles in advance of contract expira tion .   The  contract expiration  notice will let you kn ow  what you need to do if you want to renew your  service  to another term or  change your service plan.     I am   on a product with a term longer than 31 days  what happens if I  terminate my Contract  before it expires?   However you  can  contact TXU Energy  to terminate your Contract without penalty if: (1)   you  move to another location   and provide us with evidence of your move and a  forwarding ad dress ;   (2)   we notify you of a change to the terms and  conditions of your Contract and you terminate within 14 days from the date  the notice is sent; or (3)   you terminate your Contract within 14 days of its  expiration date. ,$9.95,€0,,5,
12/13/2019,TX,ONCOR ELECTRIC DELIVERY COMPANY,76567,YEP,YEP Saver Fixed Autopay E-Plan,10.6 cents,9.9 cents,9.6 cents,Fixed,24 months,$175.00,Yes $175 unless you move during the Term as setforth in your Terms of Service or unless your serviceis terminated for a reason permitted by your Termsof Service.,16%,PDFs/YEP-3.pdf,Terms of Services/YEP-3.pdf,https://enroll.yepenergy.com,https://texpo-prod-api.eroms.works/api/v1/document/ViewProductDocument?type=efl&rateCode=YRTXUF24PTC&lang=en,https://texpo-prod-api.eroms.works/api/v1/document/ViewProductDocument?type=tos&rateCode=YRTXUF24PTC&lang=en,(866) 937-5937,) Non-Recurring Fee Schedule of the TDSPs :  The table below itemizes the standard non-recurring  fees as charged by your TDSP as of May 23 2017.  We intend that all  non-recurring fees will be disclosed prior to submitting any transactions that would g enerate such non-recurring fees.Disclosure ChartWhat other fees may I becharged?,  ,) Term & Renewal:  Your service will begin on your next mete r read cycle date (your   Please call or contac t us via email or online at the above info rmation to renew your service once or befo re your term approaches expiration.  Plea se see the Automatic Continuance  section for provisions governing  your price and serv ice after expiration  of your initial term. If you elected to  authorize monthly payment of your invoices via automatic recurring  (i) withdrawals from your checking or savings accounts or ( ii) charges to your credit card then  YEP may debit your bank account (or charge your credit card) on  or after the third day after the date of the invoice) Automatic Continuance:  After the expiration of your Agreement  YEP will send you an Expira tion Notice at least 14 days prior to the end of your Term.) Consent to Contact Via Text Email Automatic Phone Dialing and the Use of Pre-Recorded Voice Systems:  To further YEP ,,,$3.00,5,
12/13/2019,TX,ONCOR ELECTRIC DELIVERY COMPANY,76567,AMIGO ENERGY,PTC Plan - 12,10.8 cents,10.8 cents,10.8 cents,Fixed,12 months,$175.00 per ESIID,Otherwise $175).,10%,PDFs/AMIGO ENERGY-3.pdf,Terms of Services/AMIGO ENERGY-3.pdf,https://www.amigoenergy.com/energy-rates-and-plans?pc=PTC,https://webs.amigoenergy.com/Generate_Docs/Generate_EflLinks.aspx?RID=uBJikLlRKl0=&RCID=mUrxqmy/vq8=&L=6f+Ch9flI7k=,https://webs.amigoenergy.com/Generate_Docs/TosyracLink.aspx?RID=uBJikLlRKl0=&RCID=mUrxqmy/vq8=&L=6f+Ch9flI7k=,(888) 995-9299, Additional Charges & Fees  the bill due date. You will be  responsible for any non-recurring fees assessed by the TDSP and Additionally  you remain responsible for any non-recurring charges from your TDSP.00  and (iv) all recurring charges. The average price does not include state and local sales taxes reimbursement for the state miscellaneous gross  receipts tax or non-recurring charges such as (for illustration purposes only) special meter read What other fees may I be charged? Late Fee:  5% of your late bill  s past due amount See the   Additional  Charges and Fees  and "JustGreen Product" section of Terms of  Service for more details.,  , Your electricity requirements at the service location or  ESI ID designated by you on your Enrollment or Renewal Form will be served under this Agreement. Your initial length of service  is indicated on your Enrollment or Renewal Form. If you fail to renew  your contract with Amigo Energy or switch to another REP your service will automatically continue on a month-to-month basis after  the expiration of your initial contract on the Default Renewal Product which is a variable price product whose price will be determined  by current market conditions until cancelled by either you or Amigo Energy. If the commodity plan automatically includes JustGreen then JustGreen cannot be discontinued without  switching plans.99 per month to  offset 100% of your energy usage with renewable energy if JustGreen is not automatically included in your plan. ,$0.00,$0.00,,2,
12/13/2019,TX,ONCOR ELECTRIC DELIVERY COMPANY,76567,FIRST CHOICE POWER ,You Got This 3,8.4 cents,8.1 cents,7.9 cents,Fixed,3 months,$135.00,Yes $135.00,15%,PDFs/FIRST CHOICE POWER -2.pdf,Terms of Services/FIRST CHOICE POWER -2.pdf,https://www.firstchoicepower.com/texas/electricity-plans/you-got-this-3/msid/26550/pid/ygt3?utm_source=BD&utm_medium=PTC,https://refer.directenergy.com/ImageServer/Documents/DocumentName?type=EFL&name=FFORXXX1083_ENG_20191204.PDF,https://refer.directenergy.com/ImageServer/Documents/DocumentName?type=TOS&name=FCP_FIXED_TOS_ENG_20191011.pdf,(888) 676-9883, Disclosure  ChartWhat other fees may I be charged?,  ,   Other Key Terms and QuestionsSee Terms of Service document for a listing of fees deposit policy pricing for a default month-to-month renewal product and other terms.,$0.00,3.9¢,$3.42,3,
