[idKey],[TduCompanyName],[RepCompany],[Product],[kwh500],[kwh1000],[kwh2000],[Fees/Credits],[PrePaid],[TimeOfUse],[Fixed],[RateType],[Renewable],[TermValue],[CancelFee],[Website],[SpecialTerms],[TermsURL],[Promotion],[PromotionDesc],[FactsURL],[EnrollURL],[PrepaidURL],[EnrollPhone],[NewCustomer],[MinUsageFeesCredits],[Language],[Rating]
59,AEP TEXAS CENTRAL COMPANY,TEXPO ENERGY,Texpo's Savings AutoPay E-Plan,,0.116,0.112,"$9.95 for usage less than 1,000 kWh",FALSE,FALSE,1,Fixed,16,12,175,http://www.texpoenergy.com,"If you elect to pay your invoice by any method other than an approved AutoPay method (as stated in Texpo’s AutoPay Enrollment Form), you will be subject to an additional charge of 0.5¢/kWh.",https://texpo-prod-api.eroms.works/api/v1/document/ViewProductDocument?type=tos&rateCode=TRCPLF&lang=en,FALSE,,https://texpo-prod-api.eroms.works/api/v1/document/ViewProductDocument?type=efl&rateCode=TRCPLF&lang=en,https://enroll.texpoenergy.com,,(877) 839-7657,FALSE,TRUE,English,4
62,AEP TEXAS CENTRAL COMPANY,TXU ENERGY,Flex Forward,0.148,0.129,0.12,,FALSE,FALSE,0,Variable,6,0,0,http://www.txu.com/ptc/flexforward,"Get one simple, low rate and keep your options open. No cancellation fees or long-term contract.",https://www.txu.com/~/media/Files/Marketing/Residential/Other-PDFs/TOSA.pdf,FALSE,,https://www.txu.com/Handlers/PDFGenerator.ashx?comProdId=TCXFLXFW0000AJ&lang=en&formType=EnergyFactsLabel&custClass=3&tdsp=ER_AEPTCC,http://www.txu.com/ptc/flexforward,,(855) 847-6135,TRUE,FALSE,English,5
66,AEP TEXAS CENTRAL COMPANY,YEP,Your Energy Plan Fixed Rate Autopay E-Plan,0.132,0.103,0.099,"$9.95 for usage less than 1,000 kWh",FALSE,FALSE,1,Fixed,16,12,175,http://www.yeptexas.com,,https://texpo-prod-api.eroms.works/api/v1/document/ViewProductDocument?type=tos&rateCode=YRCPLF&lang=en,FALSE,,https://texpo-prod-api.eroms.works/api/v1/document/ViewProductDocument?type=efl&rateCode=YRCPLF&lang=en,https://enroll.yepenergy.com,,(866) 937-5937,FALSE,TRUE,English,4
68,AEP TEXAS CENTRAL COMPANY,YEP,No Long Term Commitment AutoPay E-Plan,0.129,0.1,0.096,"$9.95 for usage less than 1,000 kWh",FALSE,FALSE,0,Variable,16,1,$0.00 ,http://www.yeptexas.com,No Special Terms,https://texpo-prod-api.eroms.works/api/v1/document/ViewProductDocument?type=tos&rateCode=YRCPLPROMO&lang=en,FALSE,,https://texpo-prod-api.eroms.works/api/v1/document/ViewProductDocument?type=efl&rateCode=YRCPLPROMO&lang=en,https://enroll.yepenergy.com,,(866) 937-5937,TRUE,TRUE,English,4
618,AEP TEXAS CENTRAL COMPANY,NEC Co-op Energy,Residential Electricity... Plain and simple.,0.152,0.135,0.127,,FALSE,FALSE,0,Variable,8,0,0,www.NECCoopEnergy.com,"$15 cooperative membership fee. By joining the co-op you are becoming an owner of NEC Co-op Energy. Our rate is honest and all-inclusive. We never have hidden fees or gimmicks. Being a cooperative means we do not work for profit. Instead we pass on the savings to you! Throughout the year, you may receive money back through Capital Credits or PowerPerks on your bill.",https://neccoopenergy.com/wp-content/uploads/NECcoopEnergy-Residential-IOU-VariableProduct-TOS-ENG-rev06172019.pdf,FALSE,,https://neccoopenergy.com/residential-service/residential-prices/aep-residential-prices-fact-sheet/,https://neccoopenergy.com/join-us/,,(855) 632-7348,FALSE,FALSE,English,5
977,AEP TEXAS CENTRAL COMPANY,YEP,9 Month Fixed Rate Autopay E-Plan,0.155,0.126,0.122,"$9.95 for usage less than 1,000 kWh",FALSE,FALSE,1,Fixed,16,9,175,http://www.yeptexas.com/,"If you elect to pay your invoice by any method other than an approved AutoPay method (as stated in Southwest’s AutoPay Enrollment Form), you will be subject to an additional charge of 0.5¢/kWh.",https://texpo-prod-api.eroms.works/api/v1/document/ViewProductDocument?type=tos&rateCode=YRCPLF9&lang=en,FALSE,,https://texpo-prod-api.eroms.works/api/v1/document/ViewProductDocument?type=efl&rateCode=YRCPLF9&lang=en,https://enroll.yepenergy.com,,(866) 937-5937,FALSE,TRUE,English,4
1821,AEP TEXAS CENTRAL COMPANY,SOUTHWEST POWER & LIGHT,Texas Independence Month to Month AutoPay E-Plan,0.128,0.099,0.095,"$9.95 for usage less than 1,000 kWh",FALSE,FALSE,0,Variable,16,1,0,http://www.southwestpl.com/,"If you elect to pay your invoice by any method other than an approved AutoPay method (as stated in Southwest’s AutoPay Enrollment Form), you will be subject to an additional charge of 0.5¢/kWh.",https://texpo-prod-api.eroms.works/api/v1/document/ViewProductDocument?type=tos&rateCode=SRCPLPROMO&lang=en,FALSE,,https://texpo-prod-api.eroms.works/api/v1/document/ViewProductDocument?type=efl&rateCode=SRCPLPROMO&lang=en,https://enroll.southwestpl.com,,(866) 941-7975,TRUE,TRUE,English,4
1875,AEP TEXAS CENTRAL COMPANY,YEP,Green Earth 100% Renewable AutoPay E-Plan with Flexible Term,0.132,0.103,0.099,"$9.95 for usage less than 1,000 kWh",FALSE,FALSE,0,Variable,100,1,0,http://www.yeptexas.com/,,https://texpo-prod-api.eroms.works/api/v1/document/ViewProductDocument?type=tos&rateCode=YRCPLPROMOGREEN&lang=en,FALSE,,https://texpo-prod-api.eroms.works/api/v1/document/ViewProductDocument?type=efl&rateCode=YRCPLPROMOGREEN&lang=en,https://enroll.yepenergy.com,,(866) 937-5937,TRUE,TRUE,English,4
1880,AEP TEXAS CENTRAL COMPANY,SOUTHWEST POWER & LIGHT,Renewable Healthy Heart of Texas Month to Month AutoPay E-Plan,0.131,0.102,0.098,"$9.95 for usage less than 1,000 kWh",FALSE,FALSE,0,Variable,100,1,0,http://www.southwestpl.com/,"If you elect to pay your invoice by any method other than an approved AutoPay method (as stated in Southwest’s AutoPay Enrollment Form), you will be subject to an additional charge of 0.5¢/kWh.",https://texpo-prod-api.eroms.works/api/v1/document/ViewProductDocument?type=tos&rateCode=SRCPLPROMOGREEN&lang=en,FALSE,,https://texpo-prod-api.eroms.works/api/v1/document/ViewProductDocument?type=efl&rateCode=SRCPLPROMOGREEN&lang=en,https://enroll.southwestpl.com,,(866) 941-7975,TRUE,TRUE,English,4
2014,AEP TEXAS CENTRAL COMPANY,YEP,18 Month Fixed Rate Autopay E-Plan,0.14,0.111,0.107,"$9.95 for usage less than 1,000 kWh",FALSE,FALSE,1,Fixed,16,18,175,http://www.yeptexas.com/,"If you elect to pay your invoice by any method other than an approved AutoPay method (as stated in Southwest’s AutoPay Enrollment Form), you will be subject to an additional charge of 0.5¢/kWh.",https://texpo-prod-api.eroms.works/api/v1/document/ViewProductDocument?type=tos&rateCode=YRCPLF18&lang=en,FALSE,,https://texpo-prod-api.eroms.works/api/v1/document/ViewProductDocument?type=efl&rateCode=YRCPLF18&lang=en,https://enroll.yepenergy.com,,(866) 937-5937,FALSE,TRUE,English,4
2024,AEP TEXAS CENTRAL COMPANY,YEP,Your Energy Plan Fixed Rate Autopay E-Plan,0.133,0.104,0.1,"$9.95 for usage less than 1,000 kWh",FALSE,FALSE,1,Fixed,16,24,175,http://www.yeptexas.com/,,https://texpo-prod-api.eroms.works/api/v1/document/ViewProductDocument?type=tos&rateCode=YRCPLF24&lang=en,FALSE,,https://texpo-prod-api.eroms.works/api/v1/document/ViewProductDocument?type=efl&rateCode=YRCPLF24&lang=en,https://enroll.yepenergy.com,,(866) 937-5937,FALSE,TRUE,English,4
2667,AEP TEXAS CENTRAL COMPANY,TRIEAGLE ENERGY LP,Eagle 12,0.117,0.112,0.109,,FALSE,FALSE,1,Fixed,6,12,20.00 per month left in term,https://www.trieagleenergy.com,"Check out the fine print! We have NO monthly minimums, NO extra AMS meter charges, and NO gimmicks or gotchas.  Rest Easy - TriEagle will never sell your private AMS usage history to any third parties. TriEagle now offers weekly usage e-mails, see PrimeTime for more details!",http://www.trieagleenergy.com/Docs/TOS/TX/TOS.pdf,FALSE,,http://www.trieagleenergy.com/docs/efl/powertochoose/EFL-CPL-12mo.pdf,http://www.trieagleenergy.com/default.aspx?webcode=PTC,,(877) 933-2453,FALSE,FALSE,English,2
2857,AEP TEXAS CENTRAL COMPANY,SOUTHWEST POWER & LIGHT,Plant-A-Tree Month to Month AutoPay E-Plan,0.13,0.101,0.097,"$9.95 for usage less than 1,000 kWh",FALSE,FALSE,0,Variable,16,1,0,http://www.southwestpl.com/Sitepage.aspx?cd=SP108," Every kilowatt hour you use goes toward planting a tree through the Arbor Day Foundation.  Improves our forest, rivers and wildlife while meeting your energy needs.  Sign-up today and protect Texas tomorrow!  Go to www.SouthwestPowerandLight.com.",https://texpo-prod-api.eroms.works/api/v1/document/ViewProductDocument?type=tos&rateCode=SRCPLPROMOTREE&lang=en,FALSE,,https://texpo-prod-api.eroms.works/api/v1/document/ViewProductDocument?type=efl&rateCode=SRCPLPROMOTREE&lang=en,https://enroll.southwestpl.com,,(866) 941-7975,TRUE,TRUE,English,4
3079,AEP TEXAS CENTRAL COMPANY,TRIEAGLE ENERGY LP,Green Eagle 12,0.119,0.114,0.111,,FALSE,FALSE,1,Fixed,100,12,20.00 per month left in term,https://www.trieagleenergy.com,"Check out the fine print! We have NO monthly minimums, NO extra AMS meter charges, and NO gimmicks or gotchas.  Rest Easy - TriEagle will never sell your private AMS usage history to any third parties. TriEagle now offers weekly usage e-mails, see PrimeTime for more details!",http://www.trieagleenergy.com/Docs/TOS/TX/TOS.pdf,FALSE,,http://www.trieagleenergy.com/docs/efl/powertochoose/EFL-CPL-G-12mo.pdf,http://www.trieagleenergy.com/default.aspx?webcode=PTC,,(877) 933-2453,FALSE,FALSE,English,2
3197,AEP TEXAS CENTRAL COMPANY,TRIEAGLE ENERGY LP,Eagle 36,0.115,0.11,0.107,,FALSE,FALSE,1,Fixed,6,36,20.00 per month left in term,https://www.trieagleenergy.com,"Check out the fine print! We have NO monthly minimums, NO extra AMS meter charges, and NO gimmicks or gotchas.  Rest Easy - TriEagle will never sell your private AMS usage history to any third parties. TriEagle now offers weekly usage e-mails, see PrimeTime for more details!",http://www.trieagleenergy.com/Docs/TOS/TX/TOS.pdf,FALSE,,http://www.trieagleenergy.com/docs/efl/powertochoose/EFL-CPL-36mo.pdf,http://www.trieagleenergy.com/default.aspx?webcode=PTC,,(877) 933-2453,FALSE,FALSE,English,2
