[idKey],[TduCompanyName],[RepCompany],[Product],[kwh500],[kwh1000],[kwh2000],[Fees/Credits],[PrePaid],[TimeOfUse],[Fixed],[RateType],[Renewable],[TermValue],[CancelFee],[Website],[SpecialTerms],[TermsURL],[Promotion],[PromotionDesc],[FactsURL],[EnrollURL],[PrepaidURL],[EnrollPhone],[NewCustomer],[MinUsageFeesCredits],[Language],[Rating]
59,AEP TEXAS CENTRAL COMPANY,TEXPO ENERGY,Texpo's Savings AutoPay E-Plan,0.145,0.116,0.112,"$9.95 for usage less than 1,000 kWh",False,False,1.0,Fixed,16.0,12.0,175.00,http://www.texpoenergy.com,"If you elect to pay your invoice by any method other than an approved AutoPay method (as stated in Texpo’s AutoPay Enrollment Form), you will be subject to an additional charge of 0.5¢/kWh.",https://texpo-prod-api.eroms.works/api/v1/document/ViewProductDocument?type=tos&rateCode=TRCPLF&lang=en,False,,https://texpo-prod-api.eroms.works/api/v1/document/ViewProductDocument?type=efl&rateCode=TRCPLF&lang=en,https://enroll.texpoenergy.com,,(877) 839-7657,False,True,English,4.0
62,AEP TEXAS CENTRAL COMPANY,TXU ENERGY,Flex Forward,0.148,0.129,0.12,,False,False,0.0,Variable,6.0,0.0,0.00,http://www.txu.com/ptc/flexforward,"Get one simple, low rate and keep your options open. No cancellation fees or long-term contract.",https://www.txu.com/~/media/Files/Marketing/Residential/Other-PDFs/TOSA.pdf,False,,https://www.txu.com/Handlers/PDFGenerator.ashx?comProdId=TCXFLXFW0000AJ&lang=en&formType=EnergyFactsLabel&custClass=3&tdsp=ER_AEPTCC,http://www.txu.com/ptc/flexforward,,(855) 847-6135,True,False,English,5.0
66,AEP TEXAS CENTRAL COMPANY,YEP,Your Energy Plan Fixed Rate Autopay E-Plan,0.132,0.103,0.099,"$9.95 for usage less than 1,000 kWh",False,False,1.0,Fixed,16.0,12.0,175.00,http://www.yeptexas.com,,https://texpo-prod-api.eroms.works/api/v1/document/ViewProductDocument?type=tos&rateCode=YRCPLF&lang=en,False,,https://texpo-prod-api.eroms.works/api/v1/document/ViewProductDocument?type=efl&rateCode=YRCPLF&lang=en,https://enroll.yepenergy.com,,(866) 937-5937,False,True,English,4.0
68,AEP TEXAS CENTRAL COMPANY,YEP,No Long Term Commitment AutoPay E-Plan,0.129,0.1,0.096,"$9.95 for usage less than 1,000 kWh",False,False,0.0,Variable,16.0,1.0,$0.00,http://www.yeptexas.com,No Special Terms,https://texpo-prod-api.eroms.works/api/v1/document/ViewProductDocument?type=tos&rateCode=YRCPLPROMO&lang=en,False,,https://texpo-prod-api.eroms.works/api/v1/document/ViewProductDocument?type=efl&rateCode=YRCPLPROMO&lang=en,https://enroll.yepenergy.com,,(866) 937-5937,True,True,English,4.0
618,AEP TEXAS CENTRAL COMPANY,NEC Co-op Energy,Residential Electricity... Plain and simple.,0.146,0.129,0.121,,False,False,0.0,Variable,8.0,0.0,0.00,www.NECCoopEnergy.com,"$15 cooperative membership fee. By joining the co-op you are becoming an owner of NEC Co-op Energy. Our rate is honest and all-inclusive. We never have hidden fees or gimmicks. Being a cooperative means we do not work for profit. Instead we pass on the savings to you! Throughout the year, you may receive money back through Capital Credits or PowerPerks on your bill.",https://neccoopenergy.com/wp-content/uploads/NECcoopEnergy-Residential-IOU-VariableProduct-TOS-ENG-rev06172019.pdf,False,,https://neccoopenergy.com/residential-service/residential-prices/aep-residential-prices-fact-sheet/,https://neccoopenergy.com/join-us/,,(855) 632-7348,False,False,English,5.0
977,AEP TEXAS CENTRAL COMPANY,YEP,9 Month Fixed Rate Autopay E-Plan,0.155,0.126,0.122,"$9.95 for usage less than 1,000 kWh",False,False,1.0,Fixed,16.0,9.0,175.00,http://www.yeptexas.com/,"If you elect to pay your invoice by any method other than an approved AutoPay method (as stated in Southwest’s AutoPay Enrollment Form), you will be subject to an additional charge of 0.5¢/kWh.",https://texpo-prod-api.eroms.works/api/v1/document/ViewProductDocument?type=tos&rateCode=YRCPLF9&lang=en,False,,https://texpo-prod-api.eroms.works/api/v1/document/ViewProductDocument?type=efl&rateCode=YRCPLF9&lang=en,https://enroll.yepenergy.com,,(866) 937-5937,False,True,English,4.0
1821,AEP TEXAS CENTRAL COMPANY,SOUTHWEST POWER & LIGHT,Texas Independence Month to Month AutoPay E-Plan,0.128,0.099,0.095,"$9.95 for usage less than 1,000 kWh",False,False,0.0,Variable,16.0,1.0,0.00,http://www.southwestpl.com/,"If you elect to pay your invoice by any method other than an approved AutoPay method (as stated in Southwest’s AutoPay Enrollment Form), you will be subject to an additional charge of 0.5¢/kWh.",https://texpo-prod-api.eroms.works/api/v1/document/ViewProductDocument?type=tos&rateCode=SRCPLPROMO&lang=en,False,,https://texpo-prod-api.eroms.works/api/v1/document/ViewProductDocument?type=efl&rateCode=SRCPLPROMO&lang=en,https://enroll.southwestpl.com,,(866) 941-7975,True,True,English,4.0
1875,AEP TEXAS CENTRAL COMPANY,YEP,Green Earth 100% Renewable AutoPay E-Plan with Flexible Term,0.132,0.103,0.099,"$9.95 for usage less than 1,000 kWh",False,False,0.0,Variable,100.0,1.0,0.00,http://www.yeptexas.com/,,https://texpo-prod-api.eroms.works/api/v1/document/ViewProductDocument?type=tos&rateCode=YRCPLPROMOGREEN&lang=en,False,,https://texpo-prod-api.eroms.works/api/v1/document/ViewProductDocument?type=efl&rateCode=YRCPLPROMOGREEN&lang=en,https://enroll.yepenergy.com,,(866) 937-5937,True,True,English,4.0
1880,AEP TEXAS CENTRAL COMPANY,SOUTHWEST POWER & LIGHT,Renewable Healthy Heart of Texas Month to Month AutoPay E-Plan,0.131,0.102,0.098,"$9.95 for usage less than 1,000 kWh",False,False,0.0,Variable,100.0,1.0,0.00,http://www.southwestpl.com/,"If you elect to pay your invoice by any method other than an approved AutoPay method (as stated in Southwest’s AutoPay Enrollment Form), you will be subject to an additional charge of 0.5¢/kWh.",https://texpo-prod-api.eroms.works/api/v1/document/ViewProductDocument?type=tos&rateCode=SRCPLPROMOGREEN&lang=en,False,,https://texpo-prod-api.eroms.works/api/v1/document/ViewProductDocument?type=efl&rateCode=SRCPLPROMOGREEN&lang=en,https://enroll.southwestpl.com,,(866) 941-7975,True,True,English,4.0
2014,AEP TEXAS CENTRAL COMPANY,YEP,18 Month Fixed Rate Autopay E-Plan,0.14,0.111,0.107,"$9.95 for usage less than 1,000 kWh",False,False,1.0,Fixed,16.0,18.0,175.00,http://www.yeptexas.com/,"If you elect to pay your invoice by any method other than an approved AutoPay method (as stated in Southwest’s AutoPay Enrollment Form), you will be subject to an additional charge of 0.5¢/kWh.",https://texpo-prod-api.eroms.works/api/v1/document/ViewProductDocument?type=tos&rateCode=YRCPLF18&lang=en,False,,https://texpo-prod-api.eroms.works/api/v1/document/ViewProductDocument?type=efl&rateCode=YRCPLF18&lang=en,https://enroll.yepenergy.com,,(866) 937-5937,False,True,English,4.0
