id_key,tdu_company_name,rep_company,product,kwh500,kwh1000,kwh2000,fees_credits,pre_paid,time_of_use,fixed,rate_type,renewable,term_value,cancel_fee,website,special_terms,terms_url,promotion,promotion_desc,facts_url,enroll_url,prepaid_url,enroll_phone,new_customer,min_usage_fees_credits,language,rating,zipcodes,pdf_filepath
59,AEP TEXAS CENTRAL COMPANY,TEXPO ENERGY,Texpo's Savings AutoPay E-Plan,0.139,0.115,0.113,"$9.95 for usage less than 1,000 kWh",False,False,1.0,Fixed,16.0,12.0,175.00,,"If you elect to pay your invoice by any method other than an approved AutoPay method (as stated in Texpo’s AutoPay Enrollment Form), you will be subject to an additional charge of 0.5¢/kWh.",https://texpo-prod-api.eroms.works/api/v1/document/ViewProductDocument?type=tos&rateCode=TRCPLF&lang=en,False,,https://texpo-prod-api.eroms.works/api/v1/document/ViewProductDocument?type=efl&rateCode=TRCPLF&lang=en,,,,False,True,,4.0,[],data\PDFs\59-062520-00-55-15.pdf
62,AEP TEXAS CENTRAL COMPANY,TXU ENERGY,Flex Forward,0.15,0.136,0.129,,False,False,0.0,Variable,6.0,0.0,0.00,,"Get one simple, low rate and keep your options open. No cancellation fees or long-term contract.",https://www.txu.com/~/media/Files/Marketing/Residential/Other-PDFs/TOSA.pdf,False,,https://www.txu.com/Handlers/PDFGenerator.ashx?comProdId=TCXFLXFW0000AG&lang=en&formType=EnergyFactsLabel&custClass=3&tdsp=ER_AEPTCC,,,,True,False,,5.0,[],data\PDFs\62-062520-00-55-15.pdf
66,AEP TEXAS CENTRAL COMPANY,YEP,Your Energy Plan Fixed Rate Autopay E-Plan,0.126,0.102,0.1,"$9.95 for usage less than 1,000 kWh",False,False,1.0,Fixed,16.0,12.0,175.00,,,https://texpo-prod-api.eroms.works/api/v1/document/ViewProductDocument?type=tos&rateCode=YRCPLF&lang=en,False,,https://texpo-prod-api.eroms.works/api/v1/document/ViewProductDocument?type=efl&rateCode=YRCPLF&lang=en,,,,False,True,,4.0,[],data\PDFs\66-062520-00-55-15.pdf
68,AEP TEXAS CENTRAL COMPANY,YEP,No Long Term Commitment AutoPay E-Plan,0.138,0.114,0.11199999999999999,"$9.95 for usage less than 1,000 kWh",False,False,0.0,Variable,16.0,1.0,$0.00,,No Special Terms,https://texpo-prod-api.eroms.works/api/v1/document/ViewProductDocument?type=tos&rateCode=YRCPLPROMO&lang=en,False,,https://texpo-prod-api.eroms.works/api/v1/document/ViewProductDocument?type=efl&rateCode=YRCPLPROMO&lang=en,,,,True,True,,4.0,[],data\PDFs\68-062520-00-55-15.pdf
618,AEP TEXAS CENTRAL COMPANY,NEC Co-op Energy,Residential Electricity... Plain and simple.,0.145,0.133,0.128,,False,False,0.0,Variable,8.0,0.0,0.00,,"$15 cooperative membership fee. By joining the co-op you are becoming an owner of NEC Co-op Energy. Our rate is honest and all-inclusive. We never have hidden fees or gimmicks. Being a cooperative means we do not work for profit. Instead we pass on the savings to you! Throughout the year, you may receive money back through Capital Credits or PowerPerks on your bill.",https://neccoopenergy.com/wp-content/uploads/NECcoopEnergy-Residential-IOU-VariableProduct-TOS-ENG-rev06172019.pdf,False,,https://neccoopenergy.com/residential-service/residential-prices/aep-residential-prices-fact-sheet/,,,,False,False,,5.0,[],None
977,AEP TEXAS CENTRAL COMPANY,YEP,9 Month Fixed Rate Autopay E-Plan,0.13,0.106,0.10400000000000001,"$9.95 for usage less than 1,000 kWh",False,False,1.0,Fixed,16.0,9.0,175.00,,"If you elect to pay your invoice by any method other than an approved AutoPay method (as stated in Southwest’s AutoPay Enrollment Form), you will be subject to an additional charge of 0.5¢/kWh.",https://texpo-prod-api.eroms.works/api/v1/document/ViewProductDocument?type=tos&rateCode=YRCPLF9&lang=en,False,,https://texpo-prod-api.eroms.works/api/v1/document/ViewProductDocument?type=efl&rateCode=YRCPLF9&lang=en,,,,False,True,,4.0,[],data\PDFs\977-062520-00-55-15.pdf
1821,AEP TEXAS CENTRAL COMPANY,SOUTHWEST POWER & LIGHT,Texas Independence Month to Month AutoPay E-Plan,0.13699999999999998,0.113,0.111,"$9.95 for usage less than 1,000 kWh",False,False,0.0,Variable,16.0,1.0,0.00,,"If you elect to pay your invoice by any method other than an approved AutoPay method (as stated in Southwest’s AutoPay Enrollment Form), you will be subject to an additional charge of 0.5¢/kWh.",https://texpo-prod-api.eroms.works/api/v1/document/ViewProductDocument?type=tos&rateCode=SRCPLPROMO&lang=en,False,,https://texpo-prod-api.eroms.works/api/v1/document/ViewProductDocument?type=efl&rateCode=SRCPLPROMO&lang=en,,,,True,True,,4.0,[],data\PDFs\1821-062520-00-55-15.pdf
1875,AEP TEXAS CENTRAL COMPANY,YEP,Green Earth 100% Renewable AutoPay E-Plan with Flexible Term,0.141,0.11699999999999999,0.115,"$9.95 for usage less than 1,000 kWh",False,False,0.0,Variable,100.0,1.0,0.00,,,https://texpo-prod-api.eroms.works/api/v1/document/ViewProductDocument?type=tos&rateCode=YRCPLPROMOGREEN&lang=en,False,,https://texpo-prod-api.eroms.works/api/v1/document/ViewProductDocument?type=efl&rateCode=YRCPLPROMOGREEN&lang=en,,,,True,True,,4.0,[],data\PDFs\1875-062520-00-55-15.pdf
1880,AEP TEXAS CENTRAL COMPANY,SOUTHWEST POWER & LIGHT,Renewable Healthy Heart of Texas Month to Month AutoPay E-Plan,0.14,0.11599999999999999,0.114,"$9.95 for usage less than 1,000 kWh",False,False,0.0,Variable,100.0,1.0,0.00,,"If you elect to pay your invoice by any method other than an approved AutoPay method (as stated in Southwest’s AutoPay Enrollment Form), you will be subject to an additional charge of 0.5¢/kWh.",https://texpo-prod-api.eroms.works/api/v1/document/ViewProductDocument?type=tos&rateCode=SRCPLPROMOGREEN&lang=en,False,,https://texpo-prod-api.eroms.works/api/v1/document/ViewProductDocument?type=efl&rateCode=SRCPLPROMOGREEN&lang=en,,,,True,True,,4.0,[],data\PDFs\1880-062520-00-55-15.pdf
2014,AEP TEXAS CENTRAL COMPANY,YEP,18 Month Fixed Rate Autopay E-Plan,0.134,0.11,0.10800000000000001,"$9.95 for usage less than 1,000 kWh",False,False,1.0,Fixed,16.0,18.0,175.00,,"If you elect to pay your invoice by any method other than an approved AutoPay method (as stated in Southwest’s AutoPay Enrollment Form), you will be subject to an additional charge of 0.5¢/kWh.",https://texpo-prod-api.eroms.works/api/v1/document/ViewProductDocument?type=tos&rateCode=YRCPLF18&lang=en,False,,https://texpo-prod-api.eroms.works/api/v1/document/ViewProductDocument?type=efl&rateCode=YRCPLF18&lang=en,,,,False,True,,4.0,[],data\PDFs\2014-062520-00-55-15.pdf
2024,AEP TEXAS CENTRAL COMPANY,YEP,Your Energy Plan Fixed Rate Autopay E-Plan,0.127,0.10300000000000001,0.10099999999999999,"$9.95 for usage less than 1,000 kWh",False,False,1.0,Fixed,16.0,24.0,175.00,,,https://texpo-prod-api.eroms.works/api/v1/document/ViewProductDocument?type=tos&rateCode=YRCPLF24&lang=en,False,,https://texpo-prod-api.eroms.works/api/v1/document/ViewProductDocument?type=efl&rateCode=YRCPLF24&lang=en,,,,False,True,,4.0,[],data\PDFs\2024-062520-00-55-17.pdf
