,[idKey],[TduCompanyName],[RepCompany],[Product],[kwh500],[kwh1000],[kwh2000],[Fees/Credits],[PrePaid],[TimeOfUse],[Fixed],[RateType],[Renewable],[TermValue],[CancelFee],[Website],[SpecialTerms],[TermsURL],[Promotion],[PromotionDesc],[FactsURL],[EnrollURL],[PrepaidURL],[EnrollPhone],[NewCustomer],[MinUsageFeesCredits],[Language],[Rating]
585,12820,ONCOR ELECTRIC DELIVERY COMPANY,4CHANGE ENERGY,Budget Saver 12,0.166,0.083,0.083,Tiered Plan,False,False,1.0,Fixed,6.0,12.0,20 per month remaining,https://www.4changeenergy.com/?utm_source=ptcbdg2k&utm_medium=ONCOR_12&utm_campaign=affiliate&promocode=ptcbdg2k&tdu=ER_ONCOR&productcode=budsva12gad_o&utm_content=budsaver,"Predictable Billing. It is this simple - $83 for usage up to 1000 kWh, an additional $83 for usage up to 2000 kWh. Price includes TDU Charges and will not be passed on to you.",https://www.4changeenergy.com/Docs/TOSA_4ChangeEnergy.pdf,False,,https://www.4changeenergy.com/Docs/efl_budsva12gad_o.pdf,https://www.4changeenergy.com/?utm_source=ptcbdg2k&utm_medium=ONCOR_12&utm_campaign=affiliate&promocode=ptcbdg2k&tdu=ER_ONCOR&productcode=budsva12gad_o&utm_content=budsaver,,(844) 840-1066,True,True,English,2.0
844,16606,TEXAS-NEW MEXICO POWER COMPANY,4CHANGE ENERGY,Budget Saver 12,0.19,0.095,0.095,Tiered Plan,False,False,1.0,Fixed,6.0,12.0,20 per month remaining,https://www.4changeenergy.com/?utm_source=ptcbdg2k&utm_medium=TNMPOWR_12&utm_campaign=affiliate&promocode=ptcbdg2k&tdu=ER_TNMPOWR&productcode=budsva12gab_t&utm_content=budsaver,"Predictable Billing. It is this simple - $95 for usage up to 1000 kWh, an additional $95 for usage up to 2000 kWh. Price includes TDU Charges and will not be passed on to you.",https://www.4changeenergy.com/Docs/TOSA_4ChangeEnergy.pdf,False,,https://www.4changeenergy.com/viewpdf.aspx/?Docs/efl_budsva12gab_t.pdf,https://www.4changeenergy.com/?utm_source=ptcbdg2k&utm_medium=TNMPOWR_12&utm_campaign=affiliate&promocode=ptcbdg2k&tdu=ER_TNMPOWR&productcode=budsva12gab_t&utm_content=budsaver,,(844) 840-1066,True,True,English,2.0
33,12822,AEP TEXAS CENTRAL COMPANY,4CHANGE ENERGY,Budget Saver 12,0.17800000000000002,0.08900000000000001,0.08900000000000001,Tiered Plan,False,False,1.0,Fixed,6.0,12.0,20 per month remaining,https://www.4changeenergy.com/?utm_source=ptcbdg2k&utm_medium=AEPTCC_12&utm_campaign=affiliate&promocode=ptcbdg2k&tdu=ER_AEPTCC&productcode=budsva12gab_a&utm_content=budsaver,"Predictable Billing. It is this simple - $89 for usage up to 1000 kWh, an additional $89 for usage up to 2000 kWh. Price includes TDU Charges and will not be passed on to you.",https://www.4changeenergy.com/Docs/TOSA_4ChangeEnergy.pdf,False,,https://www.4changeenergy.com/Docs/efl_budsva12gab_a.pdf,https://www.4changeenergy.com/?utm_source=ptcbdg2k&utm_medium=AEPTCC_12&utm_campaign=affiliate&promocode=ptcbdg2k&tdu=ER_AEPTCC&productcode=budsva12gab_a&utm_content=budsaver,,(844) 840-1066,True,True,English,2.0
309,16612,AEP TEXAS NORTH COMPANY,4CHANGE ENERGY,Budget Saver 12,0.17800000000000002,0.08900000000000001,0.08900000000000001,Tiered Plan,False,False,1.0,Fixed,6.0,12.0,20 per month remaining,https://www.4changeenergy.com/?utm_source=ptcbdg2k&utm_medium=AEPTNC_12&utm_campaign=affiliate&promocode=ptcbdg2k&tdu=ER_AEPTNC&productcode=budsva12gab_w&utm_content=budsaver,"Predictable Billing. It is this simple - $89 for usage up to 1000 kWh, an additional $89 for usage up to 2000 kWh. Price includes TDU Charges and will not be passed on to you.",https://www.4changeenergy.com/Docs/TOSA_4ChangeEnergy.pdf,False,,https://www.4changeenergy.com/viewpdf.aspx/?Docs/efl_budsva12gab_w.pdf,https://www.4changeenergy.com/?utm_source=ptcbdg2k&utm_medium=AEPTNC_12&utm_campaign=affiliate&promocode=ptcbdg2k&tdu=ER_AEPTNC&productcode=budsva12gab_w&utm_content=budsaver,,(844) 840-1066,True,True,English,2.0
306,16761,AEP TEXAS NORTH COMPANY,AMBIT ENERGY,Lone Star Plus 12,0.16,0.139,0.11699999999999999,Tiered Rate Plan. See Fact Sheet for details.,False,False,1.0,Fixed,15.0,12.0,199.00,http://ww2.ambitenergy.com/rates-and-plans?pmc=P2C,A 12-month plan that may suit Customers with higher usage. A monthly E-Plan credit is available for this product by successfully enrolling in Ambit Energy’s Paperless Billing and Automatic Payment programs when you sign up for new service. See Electricity Facts Label for discount information and enrollment requirements.,https://mediaserver.ambitenergy.com/media/get/TexasTermsOfService,False,,https://mediaserver.ambitenergy.com/media/get/TXUNBUNDLEDT_12ENR1672_279_1,http://www.ambitenergy.com,,(877) 282-6248,False,True,English,2.0
635,16690,ONCOR ELECTRIC DELIVERY COMPANY,AMBIT ENERGY,Lone Star Plus 12,0.153,0.14,0.11699999999999999,Tiered Rate Plan. See Fact Sheet for details.,False,False,1.0,Fixed,15.0,12.0,199.00,http://ww2.ambitenergy.com/rates-and-plans?pmc=P2C,A 12-month plan that may suit Customers with higher usage. A monthly E-Plan credit is available for this product by successfully enrolling in Ambit Energy’s Paperless Billing and Automatic Payment programs when you sign up for new service. See Electricity Facts Label for discount information and enrollment requirements.,https://mediaserver.ambitenergy.com/media/get/TexasTermsOfService,False,,https://mediaserver.ambitenergy.com/media/get/TXUNBUNDLEDT_12ENR1672_283_1,http://www.ambitenergy.com,,(877) 282-6248,False,True,English,2.0
845,16769,TEXAS-NEW MEXICO POWER COMPANY,AMBIT ENERGY,Lone Star Basic 12,0.162,0.151,0.16899999999999998,Tiered Rate Plan. See Fact Sheet for details.,False,False,1.0,Fixed,15.0,12.0,199.00,http://ww2.ambitenergy.com/rates-and-plans?pmc=P2C,A no frills term plan without base charges. It’s that simple. A monthly E-Plan credit is available for this product by successfully enrolling in Ambit Energy’s Paperless Billing and Automatic Payment programs when you sign up for new service. See Electricity Facts Label for discount information and enrollment requirements.,https://mediaserver.ambitenergy.com/media/get/TexasTermsOfService,False,,https://mediaserver.ambitenergy.com/media/get/TXUNBUNDLEDT_12ENR1670_287_1,http://www.ambitenergy.com,,(877) 282-6248,False,True,English,2.0
426,18359,CENTERPOINT ENERGY HOUSTON ELECTRIC LLC,AMBIT ENERGY,Lone Star Plus 24,0.16399999999999998,0.14800000000000002,0.127,Tiered Rate Plan. See Fact Sheet for details.,False,False,1.0,Fixed,15.0,24.0,199.00,http://ww2.ambitenergy.com/rates-and-plans?pmc=P2C,A monthly E-Plan credit is available for this product by successfully enrolling in Ambit Energy’s Paperless Billing and Automatic Payment programs when you sign up for new service. See Electricity Facts Label for discount information and enrollment requirements.,https://mediaserver.ambitenergy.com/media/get/TexasTermsOfService,False,,https://mediaserver.ambitenergy.com/media/get/TXLSPLUS_A_1712_284_1/EN,http://www.ambitenergy.com,,(877) 282-6248,False,True,English,2.0
622,18361,ONCOR ELECTRIC DELIVERY COMPANY,AMBIT ENERGY,Lone Star Plus 24,0.14800000000000002,0.134,0.11699999999999999,Tiered Rate Plan. See Fact Sheet for details.,False,False,1.0,Fixed,15.0,24.0,199.00,http://ww2.ambitenergy.com/rates-and-plans?pmc=P2C,A monthly E-Plan credit is available for this product by successfully enrolling in Ambit Energy’s Paperless Billing and Automatic Payment programs when you sign up for new service. See Electricity Facts Label for discount information and enrollment requirements.,https://mediaserver.ambitenergy.com/media/get/TexasTermsOfService,False,,https://mediaserver.ambitenergy.com/media/get/TXLSPLUS_A_1712_283_1/EN,http://www.ambitenergy.com,,(877) 282-6248,False,True,English,2.0
53,16759,AEP TEXAS CENTRAL COMPANY,AMBIT ENERGY,Lone Star Plus 12,0.16,0.141,0.127,Tiered Rate Plan. See Fact Sheet for details.,False,False,1.0,Fixed,15.0,12.0,199.00,http://ww2.ambitenergy.com/rates-and-plans?pmc=P2C,A 12-month plan that may suit Customers with higher usage. A monthly E-Plan credit is available for this product by successfully enrolling in Ambit Energy’s Paperless Billing and Automatic Payment programs when you sign up for new service. See Electricity Facts Label for discount information and enrollment requirements.,https://mediaserver.ambitenergy.com/media/get/TexasTermsOfService,False,,https://mediaserver.ambitenergy.com/media/get/TXUNBUNDLEDT_12ENR1672_288_1,http://www.ambitenergy.com,,(877) 282-6248,False,True,English,2.0
54,16765,AEP TEXAS CENTRAL COMPANY,AMBIT ENERGY,Lone Star Basic 12,0.163,0.147,0.166,Tiered Rate Plan. See Fact Sheet for details.,False,False,1.0,Fixed,15.0,12.0,199.00,http://ww2.ambitenergy.com/rates-and-plans?pmc=P2C,A no frills term plan without base charges. It’s that simple. A monthly E-Plan credit is available for this product by successfully enrolling in Ambit Energy’s Paperless Billing and Automatic Payment programs when you sign up for new service. See Electricity Facts Label for discount information and enrollment requirements.,https://mediaserver.ambitenergy.com/media/get/TexasTermsOfService,False,,https://mediaserver.ambitenergy.com/media/get/TXUNBUNDLEDT_12ENR1670_288_1,http://www.ambitenergy.com,,(877) 282-6248,False,True,English,2.0
619,18423,ONCOR ELECTRIC DELIVERY COMPANY,CONSTELLATION NEWENERGY INC,36Mo Usage Bill Credit +A/C Protection for 2 Units and HVAC Diagnostics,0.145,0.106,0.114,Constellation will automatically apply a $35 bill credit to your invoice for each billing cycle where usage is at least 1000 kWh. An additional $15 bill credit will be applied when usage reaches 2000 kWh ,False,False,1.0,Fixed,16.0,36.0,99.00,https://www.constellation.com/content/constellation/en/campaigns/powertochoose.html ,,https://www.constellation.com/bin/residential/Terms_TX?versionNum=01LEL,False,,https://www.constellation.com/bin/residential/Terms_TX?versionNum=01S9R,https://www.constellation.com/content/constellation/en/campaigns/powertochoose.html,,(855) 797-8465,False,True,English,2.0
429,18419,CENTERPOINT ENERGY HOUSTON ELECTRIC LLC,CONSTELLATION NEWENERGY INC,TX Flat Tier Product ,0.182,0.091,0.091,tiered product,False,False,1.0,Fixed,16.0,12.0,50.00,https://www.constellation.com/content/constellation/en/campaigns/powertochoose.html ,,https://www.constellation.com/bin/residential/Terms_TX?versionNum=01RN1,False,,https://www.constellation.com/bin/residential/Terms_TX?versionNum=01RN4,https://www.constellation.com/content/constellation/en/campaigns/powertochoose.html,,(855) 797-8465,False,True,English,2.0
618,18421,ONCOR ELECTRIC DELIVERY COMPANY,CONSTELLATION NEWENERGY INC,TX Flat Tier Product ,0.17800000000000002,0.08900000000000001,0.08900000000000001,tiered product,False,False,1.0,Fixed,16.0,12.0,50.00,https://www.constellation.com/content/constellation/en/campaigns/powertochoose.html ,,https://www.constellation.com/bin/residential/Terms_TX?versionNum=01RN3,False,,https://www.constellation.com/bin/residential/Terms_TX?versionNum=01RN5,https://www.constellation.com/content/constellation/en/campaigns/powertochoose.html,,(855) 797-8465,False,True,English,2.0
29,12406,AEP TEXAS CENTRAL COMPANY,CONSTELLATION NEWENERGY INC,12 Month Usage Bill Credit ,0.153,0.109,0.115,Constellation will automatically apply a $35 bill credit to your invoice for each billing cycle where usage is at least 1000 kWh. An additional $15 bill credit will be applied when usage reaches 2000 kWh,False,False,1.0,Fixed,16.0,12.0,50.00,https://www.constellation.com/content/constellation/en/campaigns/powertochoose.html ,,https://www.constellation.com/bin/residential/Terms_TX?versionNum=01HFN,False,,https://www.constellation.com/bin/residential/Terms_TX?versionNum=01UBF,https://www.constellation.com/content/constellation/en/campaigns/powertochoose.html,,(855) 797-8465,False,True,English,2.0
327,12411,AEP TEXAS NORTH COMPANY,CONSTELLATION NEWENERGY INC,12 Month Usage Bill Credit ,0.16399999999999998,0.11800000000000001,0.12300000000000001,Constellation will automatically apply a $35 bill credit to your invoice for each billing cycle where usage is at least 1000 kWh. An additional $15 bill credit will be applied when usage reaches 2000 kWh,False,False,1.0,Fixed,16.0,12.0,50.00,https://www.constellation.com/content/constellation/en/campaigns/powertochoose.html ,,https://www.constellation.com/bin/residential/Terms_TX?versionNum=01HFZ,False,,https://www.constellation.com/bin/residential/Terms_TX?versionNum=01T9Q,https://www.constellation.com/content/constellation/en/campaigns/powertochoose.html,,(855) 797-8465,False,True,English,2.0
617,18462,ONCOR ELECTRIC DELIVERY COMPANY,Discount Power,Wise Buy 24,0.132,0.109,0.107," Usage charge: $0 if monthly usage is 1000 kWh or more; for usage under 1000 kWh, a $9.95 per month charge is applied. ",False,False,1.0,Fixed,10.0,24.0,200.00,https://www.discountpowertx.com/resources/public/oe/zipcode.jsp?txtPromocode=WQ4133&fromLP=ptc,"Electronic Billing and auto payment via bank draft, credit card, or debit card available. This offer is for new customers only. Enroll through Power to Choose or by using special promo code; Promo Code Required: WQ4133.",https://www.discountpowertx.com/files/09017518809dd16a.pdf,False,,https://www.discountpowertx.com/files/0901751881f47066.pdf,https://www.discountpowertx.com/resources/public/oe/zipcode.jsp?txtPromocode=WQ4133&fromLP=ptc,,(855) 265-9153,True,True,English,3.0
862,18465,TEXAS-NEW MEXICO POWER COMPANY,Discount Power,Wise Buy 24,0.153,0.125,0.121," Usage charge: $0 if monthly usage is 1000 kWh or more; for usage under 1000 kWh, a $9.95 per month charge is applied. ",False,False,1.0,Fixed,10.0,24.0,200.00,https://www.discountpowertx.com/resources/public/oe/zipcode.jsp?txtPromocode=WQ4139&fromLP=ptc,"Electronic Billing and auto payment via bank draft, credit card, or debit card available. This offer is for new customers only. Enroll through Power to Choose or by using special promo code; Promo Code Required: WQ4139.",https://www.discountpowertx.com/files/09017518809dd16a.pdf,False,,https://www.discountpowertx.com/files/0901751881f4706e.pdf,https://www.discountpowertx.com/resources/public/oe/zipcode.jsp?txtPromocode=WQ4139&fromLP=ptc,,(855) 265-9153,True,True,English,3.0
73,18463,AEP TEXAS CENTRAL COMPANY,Discount Power,Wise Buy 24,0.153,0.124,0.11900000000000001,"Usage charge: $0 if monthly usage is 1000 kWh or more; for usage under 1000 kWh, a $9.95 per month charge is applied. ",False,False,1.0,Fixed,10.0,24.0,200.00,https://www.discountpowertx.com/resources/public/oe/zipcode.jsp?txtPromocode=WQ4135&fromLP=ptc,"Electronic Billing and auto payment via bank draft, credit card, or debit card available. This offer is for new customers only. Enroll through Power to Choose or by using special promo code; Promo Code Required: WQ4135.",https://www.discountpowertx.com/files/09017518809dd16a.pdf,False,,https://www.discountpowertx.com/files/090175188212ed92.pdf,https://www.discountpowertx.com/resources/public/oe/zipcode.jsp?txtPromocode=WQ4135&fromLP=ptc,,(855) 265-9153,True,True,English,3.0
