"[idKey]","[TduCompanyName]","[RepCompany]","[Product]","[kwh500]","[kwh1000]","[kwh2000]","[Fees/Credits]","[PrePaid]","[TimeOfUse]","[Fixed]","[RateType]","[Renewable]","[TermValue]","[CancelFee]","[Website]","[SpecialTerms]","[TermsURL]","[Promotion]","[PromotionDesc]","[FactsURL]","[EnrollURL]","[PrepaidURL]","[EnrollPhone]","[NewCustomer]","[MinUsageFeesCredits]","[Language]","[Rating]","[Zipcodes]"
59,AEP TEXAS CENTRAL COMPANY,TEXPO ENERGY,Texpo's Savings AutoPay E-Plan,0.1570,0.1280,0.1240,"$9.95 for usage less than 1,000 kWh",False,False,1,Fixed,16,12,175.00,http://www.texpoenergy.com,"If you elect to pay your invoice by any method other than an approved AutoPay method (as stated in Texpo’s AutoPay Enrollment Form), you will be subject to an additional charge of 0.5¢/kWh.",https://texpo-prod-api.eroms.works/api/v1/document/ViewProductDocument?type=tos&rateCode=TRCPLF&lang=en,False,,https://texpo-prod-api.eroms.works/api/v1/document/ViewProductDocument?type=efl&rateCode=TRCPLF&lang=en,https://enroll.texpoenergy.com,,(877) 839-7657,FALSE,TRUE,English,4,"['77414', '77419', '77434', '77437', '77440', '77442', '77456', '77457', '77458', '77460', '77465', '77483', '77901', '77903', '77904', '77905', '77950', '77951', '77957', '77962', '77963', '77968', '77971', '77977', '77978', '77979', '77983', '77990', '77993', '77994', '78001', '78005', '78011', '78014', '78016', '78017', '78019', '78022', '78026', '78040', '78041', '78042', '78043', '78045', '78046', '78050', '78052', '78057', '78059', '78060', '78061', '78064', '78065', '78067', '78071', '78076', '78102', '78104', '78107', '78116', '78118', '78119', '78122', '78140', '78141', '78142', '78145', '78146', '78151', '78159', '78162', '78164', '78330', '78332', '78335', '78336', '78339', '78340', '78341', '78342', '78343', '78344', '78347', '78349', '78350', '78351', '78352', '78353', '78355', '78357', '78358', '78359', '78361', '78362', '78363', '78364', '78368', '78369', '78370', '78371', '78372', '78373', '78374', '78375', '78376', '78377', '78379', '78380', '78382', '78383', '78384', '78387', '78389', '78390', '78391', '78393', '78401', '78402', '78404', '78405', '78406', '78407', '78408', '78409', '78410', '78411', '78412', '78413', '78414', '78415', '78416', '78417', '78418', '78419', '78426', '78469', '78501', '78503', '78504', '78505', '78516', '78520', '78521', '78522', '78526', '78535', '78537', '78538', '78539', '78540', '78541', '78542', '78543', '78547', '78548', '78549', '78550', '78551', '78552', '78553', '78557', '78558', '78559', '78560', '78562', '78565', '78566', '78567', '78568', '78569', '78570', '78572', '78573', '78574', '78575', '78576', '78577', '78578', '78579', '78580', '78582', '78583', '78584', '78586', '78589', '78592', '78593', '78594', '78595', '78596', '78597', '78598', '78599', '78604', '78629', '78638', '78644', '78648', '78801', '78827', '78828', '78830', '78832', '78833', '78834', '78836', '78837', '78839', '78840', '78841', '78843', '78851', '78852', '78853', '78860', '78870', '78872', '78873', '78877', '78880', '78881', '78933', '78934', '78935', '78943', '78956']"
62,AEP TEXAS CENTRAL COMPANY,TXU ENERGY,Flex Forward,0.1540,0.1350,0.1250,,False,False,0,Variable,6,0,0.00,http://www.txu.com/ptc/flexforward,"Get one simple, low rate and keep your options open. No cancellation fees or long-term contract.",https://www.txu.com/~/media/Files/Marketing/Residential/Other-PDFs/TOSA.pdf,False,,https://www.txu.com/Handlers/PDFGenerator.ashx?comProdId=TCXFLXFW0000AH&lang=en&formType=EnergyFactsLabel&custClass=3&tdsp=ER_AEPTCC,http://www.txu.com/ptc/flexforward,,(855) 847-6135,TRUE,FALSE,English,5,"['77414', '77419', '77434', '77437', '77440', '77442', '77456', '77457', '77458', '77460', '77465', '77483', '77901', '77903', '77904', '77905', '77950', '77951', '77957', '77962', '77963', '77968', '77971', '77977', '77978', '77979', '77983', '77990', '77993', '77994', '78001', '78005', '78011', '78014', '78016', '78017', '78019', '78022', '78026', '78040', '78041', '78042', '78043', '78045', '78046', '78050', '78052', '78057', '78059', '78060', '78061', '78064', '78065', '78067', '78071', '78076', '78102', '78104', '78107', '78116', '78118', '78119', '78122', '78140', '78141', '78142', '78145', '78146', '78151', '78159', '78162', '78164', '78330', '78332', '78335', '78336', '78339', '78340', '78341', '78342', '78343', '78344', '78347', '78349', '78350', '78351', '78352', '78353', '78355', '78357', '78358', '78359', '78361', '78362', '78363', '78364', '78368', '78369', '78370', '78371', '78372', '78373', '78374', '78375', '78376', '78377', '78379', '78380', '78382', '78383', '78384', '78387', '78389', '78390', '78391', '78393', '78401', '78402', '78404', '78405', '78406', '78407', '78408', '78409', '78410', '78411', '78412', '78413', '78414', '78415', '78416', '78417', '78418', '78419', '78426', '78469', '78501', '78503', '78504', '78505', '78516', '78520', '78521', '78522', '78526', '78535', '78537', '78538', '78539', '78540', '78541', '78542', '78543', '78547', '78548', '78549', '78550', '78551', '78552', '78553', '78557', '78558', '78559', '78560', '78562', '78565', '78566', '78567', '78568', '78569', '78570', '78572', '78573', '78574', '78575', '78576', '78577', '78578', '78579', '78580', '78582', '78583', '78584', '78586', '78589', '78592', '78593', '78594', '78595', '78596', '78597', '78598', '78599', '78604', '78629', '78638', '78644', '78648', '78801', '78827', '78828', '78830', '78832', '78833', '78834', '78836', '78837', '78839', '78840', '78841', '78843', '78851', '78852', '78853', '78860', '78870', '78872', '78873', '78877', '78880', '78881', '78933', '78934', '78935', '78943', '78956']"
66,AEP TEXAS CENTRAL COMPANY,YEP,Your Energy Plan Fixed Rate Autopay E-Plan,0.1440,0.1150,0.1110,"$9.95 for usage less than 1,000 kWh",False,False,1,Fixed,16,12,175.00,http://www.yeptexas.com,,https://texpo-prod-api.eroms.works/api/v1/document/ViewProductDocument?type=tos&rateCode=YRCPLF&lang=en,False,,https://texpo-prod-api.eroms.works/api/v1/document/ViewProductDocument?type=efl&rateCode=YRCPLF&lang=en,https://enroll.yepenergy.com,,(866) 937-5937,FALSE,TRUE,English,4,"['77414', '77419', '77434', '77437', '77440', '77442', '77456', '77457', '77458', '77460', '77465', '77483', '77901', '77903', '77904', '77905', '77950', '77951', '77957', '77962', '77963', '77968', '77971', '77977', '77978', '77979', '77983', '77990', '77993', '77994', '78001', '78005', '78011', '78014', '78016', '78017', '78019', '78022', '78026', '78040', '78041', '78042', '78043', '78045', '78046', '78050', '78052', '78057', '78059', '78060', '78061', '78064', '78065', '78067', '78071', '78076', '78102', '78104', '78107', '78116', '78118', '78119', '78122', '78140', '78141', '78142', '78145', '78146', '78151', '78159', '78162', '78164', '78330', '78332', '78335', '78336', '78339', '78340', '78341', '78342', '78343', '78344', '78347', '78349', '78350', '78351', '78352', '78353', '78355', '78357', '78358', '78359', '78361', '78362', '78363', '78364', '78368', '78369', '78370', '78371', '78372', '78373', '78374', '78375', '78376', '78377', '78379', '78380', '78382', '78383', '78384', '78387', '78389', '78390', '78391', '78393', '78401', '78402', '78404', '78405', '78406', '78407', '78408', '78409', '78410', '78411', '78412', '78413', '78414', '78415', '78416', '78417', '78418', '78419', '78426', '78469', '78501', '78503', '78504', '78505', '78516', '78520', '78521', '78522', '78526', '78535', '78537', '78538', '78539', '78540', '78541', '78542', '78543', '78547', '78548', '78549', '78550', '78551', '78552', '78553', '78557', '78558', '78559', '78560', '78562', '78565', '78566', '78567', '78568', '78569', '78570', '78572', '78573', '78574', '78575', '78576', '78577', '78578', '78579', '78580', '78582', '78583', '78584', '78586', '78589', '78592', '78593', '78594', '78595', '78596', '78597', '78598', '78599', '78604', '78629', '78638', '78644', '78648', '78801', '78827', '78828', '78830', '78832', '78833', '78834', '78836', '78837', '78839', '78840', '78841', '78843', '78851', '78852', '78853', '78860', '78870', '78872', '78873', '78877', '78880', '78881', '78933', '78934', '78935', '78943', '78956']"
68,AEP TEXAS CENTRAL COMPANY,YEP,No Long Term Commitment AutoPay E-Plan,0.1400,0.1110,0.1070,"$9.95 for usage less than 1,000 kWh",False,False,0,Variable,16,1,$0.00,http://www.yeptexas.com,No Special Terms,https://texpo-prod-api.eroms.works/api/v1/document/ViewProductDocument?type=tos&rateCode=YRCPLPROMO&lang=en,False,,https://texpo-prod-api.eroms.works/api/v1/document/ViewProductDocument?type=efl&rateCode=YRCPLPROMO&lang=en,https://enroll.yepenergy.com,,(866) 937-5937,TRUE,TRUE,English,4,"['77414', '77419', '77434', '77437', '77440', '77442', '77456', '77457', '77458', '77460', '77465', '77483', '77901', '77903', '77904', '77905', '77950', '77951', '77957', '77962', '77963', '77968', '77971', '77977', '77978', '77979', '77983', '77990', '77993', '77994', '78001', '78005', '78011', '78014', '78016', '78017', '78019', '78022', '78026', '78040', '78041', '78042', '78043', '78045', '78046', '78050', '78052', '78057', '78059', '78060', '78061', '78064', '78065', '78067', '78071', '78076', '78102', '78104', '78107', '78116', '78118', '78119', '78122', '78140', '78141', '78142', '78145', '78146', '78151', '78159', '78162', '78164', '78330', '78332', '78335', '78336', '78339', '78340', '78341', '78342', '78343', '78344', '78347', '78349', '78350', '78351', '78352', '78353', '78355', '78357', '78358', '78359', '78361', '78362', '78363', '78364', '78368', '78369', '78370', '78371', '78372', '78373', '78374', '78375', '78376', '78377', '78379', '78380', '78382', '78383', '78384', '78387', '78389', '78390', '78391', '78393', '78401', '78402', '78404', '78405', '78406', '78407', '78408', '78409', '78410', '78411', '78412', '78413', '78414', '78415', '78416', '78417', '78418', '78419', '78426', '78469', '78501', '78503', '78504', '78505', '78516', '78520', '78521', '78522', '78526', '78535', '78537', '78538', '78539', '78540', '78541', '78542', '78543', '78547', '78548', '78549', '78550', '78551', '78552', '78553', '78557', '78558', '78559', '78560', '78562', '78565', '78566', '78567', '78568', '78569', '78570', '78572', '78573', '78574', '78575', '78576', '78577', '78578', '78579', '78580', '78582', '78583', '78584', '78586', '78589', '78592', '78593', '78594', '78595', '78596', '78597', '78598', '78599', '78604', '78629', '78638', '78644', '78648', '78801', '78827', '78828', '78830', '78832', '78833', '78834', '78836', '78837', '78839', '78840', '78841', '78843', '78851', '78852', '78853', '78860', '78870', '78872', '78873', '78877', '78880', '78881', '78933', '78934', '78935', '78943', '78956']"
618,AEP TEXAS CENTRAL COMPANY,NEC Co-op Energy,Residential Electricity... Plain and simple.,0.1520,0.1350,0.1270,,False,False,0,Variable,8,0,0.00,www.NECCoopEnergy.com,"$15 cooperative membership fee. By joining the co-op you are becoming an owner of NEC Co-op Energy. Our rate is honest and all-inclusive. We never have hidden fees or gimmicks. Being a cooperative means we do not work for profit. Instead we pass on the savings to you! Throughout the year, you may receive money back through Capital Credits or PowerPerks on your bill.",https://neccoopenergy.com/wp-content/uploads/NECcoopEnergy-Residential-IOU-VariableProduct-TOS-ENG-rev06172019.pdf,False,,https://neccoopenergy.com/residential-service/residential-prices/aep-residential-prices-fact-sheet/,https://neccoopenergy.com/join-us/,,(855) 632-7348,FALSE,FALSE,English,5,"['77414', '77419', '77434', '77437', '77440', '77442', '77456', '77457', '77458', '77460', '77465', '77483', '77901', '77903', '77904', '77905', '77950', '77951', '77957', '77962', '77963', '77968', '77971', '77977', '77978', '77979', '77983', '77990', '77993', '77994', '78001', '78005', '78011', '78014', '78016', '78017', '78019', '78022', '78026', '78040', '78041', '78042', '78043', '78045', '78046', '78050', '78052', '78057', '78059', '78060', '78061', '78064', '78065', '78067', '78071', '78076', '78102', '78104', '78107', '78116', '78118', '78119', '78122', '78140', '78141', '78142', '78145', '78146', '78151', '78159', '78162', '78164', '78330', '78332', '78335', '78336', '78339', '78340', '78341', '78342', '78343', '78344', '78347', '78349', '78350', '78351', '78352', '78353', '78355', '78357', '78358', '78359', '78361', '78362', '78363', '78364', '78368', '78369', '78370', '78371', '78372', '78373', '78374', '78375', '78376', '78377', '78379', '78380', '78382', '78383', '78384', '78387', '78389', '78390', '78391', '78393', '78401', '78402', '78404', '78405', '78406', '78407', '78408', '78409', '78410', '78411', '78412', '78413', '78414', '78415', '78416', '78417', '78418', '78419', '78426', '78469', '78501', '78503', '78504', '78505', '78516', '78520', '78521', '78522', '78526', '78535', '78537', '78538', '78539', '78540', '78541', '78542', '78543', '78547', '78548', '78549', '78550', '78551', '78552', '78553', '78557', '78558', '78559', '78560', '78562', '78565', '78566', '78567', '78568', '78569', '78570', '78572', '78573', '78574', '78575', '78576', '78577', '78578', '78579', '78580', '78582', '78583', '78584', '78586', '78589', '78592', '78593', '78594', '78595', '78596', '78597', '78598', '78599', '78604', '78629', '78638', '78644', '78648', '78801', '78827', '78828', '78830', '78832', '78833', '78834', '78836', '78837', '78839', '78840', '78841', '78843', '78851', '78852', '78853', '78860', '78870', '78872', '78873', '78877', '78880', '78881', '78933', '78934', '78935', '78943', '78956']"
1821,AEP TEXAS CENTRAL COMPANY,SOUTHWEST POWER & LIGHT,Texas Independence Month to Month AutoPay E-Plan,0.1390,0.1100,0.1060,"$9.95 for usage less than 1,000 kWh",False,False,0,Variable,16,1,0.00,http://www.southwestpl.com/,"If you elect to pay your invoice by any method other than an approved AutoPay method (as stated in Southwest’s AutoPay Enrollment Form), you will be subject to an additional charge of 0.5¢/kWh.",https://texpo-prod-api.eroms.works/api/v1/document/ViewProductDocument?type=tos&rateCode=SRCPLPROMO&lang=en,False,,https://texpo-prod-api.eroms.works/api/v1/document/ViewProductDocument?type=efl&rateCode=SRCPLPROMO&lang=en,https://enroll.southwestpl.com,,(866) 941-7975,TRUE,TRUE,English,4,"['77414', '77419', '77434', '77437', '77440', '77442', '77456', '77457', '77458', '77460', '77465', '77483', '77901', '77903', '77904', '77905', '77950', '77951', '77957', '77962', '77963', '77968', '77971', '77977', '77978', '77979', '77983', '77990', '77993', '77994', '78001', '78005', '78011', '78014', '78016', '78017', '78019', '78022', '78026', '78040', '78041', '78042', '78043', '78045', '78046', '78050', '78052', '78057', '78059', '78060', '78061', '78064', '78065', '78067', '78071', '78076', '78102', '78104', '78107', '78116', '78118', '78119', '78122', '78140', '78141', '78142', '78145', '78146', '78151', '78159', '78162', '78164', '78330', '78332', '78335', '78336', '78339', '78340', '78341', '78342', '78343', '78344', '78347', '78349', '78350', '78351', '78352', '78353', '78355', '78357', '78358', '78359', '78361', '78362', '78363', '78364', '78368', '78369', '78370', '78371', '78372', '78373', '78374', '78375', '78376', '78377', '78379', '78380', '78382', '78383', '78384', '78387', '78389', '78390', '78391', '78393', '78401', '78402', '78404', '78405', '78406', '78407', '78408', '78409', '78410', '78411', '78412', '78413', '78414', '78415', '78416', '78417', '78418', '78419', '78426', '78469', '78501', '78503', '78504', '78505', '78516', '78520', '78521', '78522', '78526', '78535', '78537', '78538', '78539', '78540', '78541', '78542', '78543', '78547', '78548', '78549', '78550', '78551', '78552', '78553', '78557', '78558', '78559', '78560', '78562', '78565', '78566', '78567', '78568', '78569', '78570', '78572', '78573', '78574', '78575', '78576', '78577', '78578', '78579', '78580', '78582', '78583', '78584', '78586', '78589', '78592', '78593', '78594', '78595', '78596', '78597', '78598', '78599', '78604', '78629', '78638', '78644', '78648', '78801', '78827', '78828', '78830', '78832', '78833', '78834', '78836', '78837', '78839', '78840', '78841', '78843', '78851', '78852', '78853', '78860', '78870', '78872', '78873', '78877', '78880', '78881', '78933', '78934', '78935', '78943', '78956']"
1875,AEP TEXAS CENTRAL COMPANY,YEP,Green Earth 100% Renewable AutoPay E-Plan with Flexible Term,0.1430,0.1140,0.1100,"$9.95 for usage less than 1,000 kWh",False,False,0,Variable,100,1,0.00,http://www.yeptexas.com/,,https://texpo-prod-api.eroms.works/api/v1/document/ViewProductDocument?type=tos&rateCode=YRCPLPROMOGREEN&lang=en,False,,https://texpo-prod-api.eroms.works/api/v1/document/ViewProductDocument?type=efl&rateCode=YRCPLPROMOGREEN&lang=en,https://enroll.yepenergy.com,,(866) 937-5937,TRUE,TRUE,English,4,"['77414', '77419', '77434', '77437', '77440', '77442', '77456', '77457', '77458', '77460', '77465', '77483', '77901', '77903', '77904', '77905', '77950', '77951', '77957', '77962', '77963', '77968', '77971', '77977', '77978', '77979', '77983', '77990', '77993', '77994', '78001', '78005', '78011', '78014', '78016', '78017', '78019', '78022', '78026', '78040', '78041', '78042', '78043', '78045', '78046', '78050', '78052', '78057', '78059', '78060', '78061', '78064', '78065', '78067', '78071', '78076', '78102', '78104', '78107', '78116', '78118', '78119', '78122', '78140', '78141', '78142', '78145', '78146', '78151', '78159', '78162', '78164', '78330', '78332', '78335', '78336', '78339', '78340', '78341', '78342', '78343', '78344', '78347', '78349', '78350', '78351', '78352', '78353', '78355', '78357', '78358', '78359', '78361', '78362', '78363', '78364', '78368', '78369', '78370', '78371', '78372', '78373', '78374', '78375', '78376', '78377', '78379', '78380', '78382', '78383', '78384', '78387', '78389', '78390', '78391', '78393', '78401', '78402', '78404', '78405', '78406', '78407', '78408', '78409', '78410', '78411', '78412', '78413', '78414', '78415', '78416', '78417', '78418', '78419', '78426', '78469', '78501', '78503', '78504', '78505', '78516', '78520', '78521', '78522', '78526', '78535', '78537', '78538', '78539', '78540', '78541', '78542', '78543', '78547', '78548', '78549', '78550', '78551', '78552', '78553', '78557', '78558', '78559', '78560', '78562', '78565', '78566', '78567', '78568', '78569', '78570', '78572', '78573', '78574', '78575', '78576', '78577', '78578', '78579', '78580', '78582', '78583', '78584', '78586', '78589', '78592', '78593', '78594', '78595', '78596', '78597', '78598', '78599', '78604', '78629', '78638', '78644', '78648', '78801', '78827', '78828', '78830', '78832', '78833', '78834', '78836', '78837', '78839', '78840', '78841', '78843', '78851', '78852', '78853', '78860', '78870', '78872', '78873', '78877', '78880', '78881', '78933', '78934', '78935', '78943', '78956']"
1880,AEP TEXAS CENTRAL COMPANY,SOUTHWEST POWER & LIGHT,Renewable Healthy Heart of Texas Month to Month AutoPay E-Plan,0.1420,0.1130,0.1090,"$9.95 for usage less than 1,000 kWh",False,False,0,Variable,100,1,0.00,http://www.southwestpl.com/,"If you elect to pay your invoice by any method other than an approved AutoPay method (as stated in Southwest’s AutoPay Enrollment Form), you will be subject to an additional charge of 0.5¢/kWh.",https://texpo-prod-api.eroms.works/api/v1/document/ViewProductDocument?type=tos&rateCode=SRCPLPROMOGREEN&lang=en,False,,https://texpo-prod-api.eroms.works/api/v1/document/ViewProductDocument?type=efl&rateCode=SRCPLPROMOGREEN&lang=en,https://enroll.southwestpl.com,,(866) 941-7975,TRUE,TRUE,English,4,"['77414', '77419', '77434', '77437', '77440', '77442', '77456', '77457', '77458', '77460', '77465', '77483', '77901', '77903', '77904', '77905', '77950', '77951', '77957', '77962', '77963', '77968', '77971', '77977', '77978', '77979', '77983', '77990', '77993', '77994', '78001', '78005', '78011', '78014', '78016', '78017', '78019', '78022', '78026', '78040', '78041', '78042', '78043', '78045', '78046', '78050', '78052', '78057', '78059', '78060', '78061', '78064', '78065', '78067', '78071', '78076', '78102', '78104', '78107', '78116', '78118', '78119', '78122', '78140', '78141', '78142', '78145', '78146', '78151', '78159', '78162', '78164', '78330', '78332', '78335', '78336', '78339', '78340', '78341', '78342', '78343', '78344', '78347', '78349', '78350', '78351', '78352', '78353', '78355', '78357', '78358', '78359', '78361', '78362', '78363', '78364', '78368', '78369', '78370', '78371', '78372', '78373', '78374', '78375', '78376', '78377', '78379', '78380', '78382', '78383', '78384', '78387', '78389', '78390', '78391', '78393', '78401', '78402', '78404', '78405', '78406', '78407', '78408', '78409', '78410', '78411', '78412', '78413', '78414', '78415', '78416', '78417', '78418', '78419', '78426', '78469', '78501', '78503', '78504', '78505', '78516', '78520', '78521', '78522', '78526', '78535', '78537', '78538', '78539', '78540', '78541', '78542', '78543', '78547', '78548', '78549', '78550', '78551', '78552', '78553', '78557', '78558', '78559', '78560', '78562', '78565', '78566', '78567', '78568', '78569', '78570', '78572', '78573', '78574', '78575', '78576', '78577', '78578', '78579', '78580', '78582', '78583', '78584', '78586', '78589', '78592', '78593', '78594', '78595', '78596', '78597', '78598', '78599', '78604', '78629', '78638', '78644', '78648', '78801', '78827', '78828', '78830', '78832', '78833', '78834', '78836', '78837', '78839', '78840', '78841', '78843', '78851', '78852', '78853', '78860', '78870', '78872', '78873', '78877', '78880', '78881', '78933', '78934', '78935', '78943', '78956']"
1989,AEP TEXAS CENTRAL COMPANY,SOUTHWEST POWER & LIGHT,Spirit of Texas Fixed Rate AutoPay E-Plan,0.1400,0.1110,0.1070,"$9.95 for usage less than 1,000 kWh",False,False,1,Fixed,16,24,175.00,http://www.southwestpl.com/,"If you elect to pay your invoice by any method other than an approved AutoPay method (as stated in Southwest’s AutoPay Enrollment Form), you will be subject to an additional charge of 0.5¢/kWh.",https://texpo-prod-api.eroms.works/api/v1/document/ViewProductDocument?type=tos&rateCode=SRCPLF24&lang=en,False,,https://texpo-prod-api.eroms.works/api/v1/document/ViewProductDocument?type=efl&rateCode=SRCPLF24&lang=en,https://enroll.southwestpl.com,,(866) 941-7975,FALSE,TRUE,English,4
2024,AEP TEXAS CENTRAL COMPANY,YEP,Your Energy Plan Fixed Rate Autopay E-Plan,0.1400,0.1110,0.1070,"$9.95 for usage less than 1,000 kWh",False,False,1,Fixed,16,24,175.00,http://www.yeptexas.com/,,https://texpo-prod-api.eroms.works/api/v1/document/ViewProductDocument?type=tos&rateCode=YRCPLF24&lang=en,False,,https://texpo-prod-api.eroms.works/api/v1/document/ViewProductDocument?type=efl&rateCode=YRCPLF24&lang=en,https://enroll.yepenergy.com,,(866) 937-5937,FALSE,TRUE,English,4,"['77414', '77419', '77434', '77437', '77440', '77442', '77456', '77457', '77458', '77460', '77465', '77483', '77901', '77903', '77904', '77905', '77950', '77951', '77957', '77962', '77963', '77968', '77971', '77977', '77978', '77979', '77983', '77990', '77993', '77994', '78001', '78005', '78011', '78014', '78016', '78017', '78019', '78022', '78026', '78040', '78041', '78042', '78043', '78045', '78046', '78050', '78052', '78057', '78059', '78060', '78061', '78064', '78065', '78067', '78071', '78076', '78102', '78104', '78107', '78116', '78118', '78119', '78122', '78140', '78141', '78142', '78145', '78146', '78151', '78159', '78162', '78164', '78330', '78332', '78335', '78336', '78339', '78340', '78341', '78342', '78343', '78344', '78347', '78349', '78350', '78351', '78352', '78353', '78355', '78357', '78358', '78359', '78361', '78362', '78363', '78364', '78368', '78369', '78370', '78371', '78372', '78373', '78374', '78375', '78376', '78377', '78379', '78380', '78382', '78383', '78384', '78387', '78389', '78390', '78391', '78393', '78401', '78402', '78404', '78405', '78406', '78407', '78408', '78409', '78410', '78411', '78412', '78413', '78414', '78415', '78416', '78417', '78418', '78419', '78426', '78469', '78501', '78503', '78504', '78505', '78516', '78520', '78521', '78522', '78526', '78535', '78537', '78538', '78539', '78540', '78541', '78542', '78543', '78547', '78548', '78549', '78550', '78551', '78552', '78553', '78557', '78558', '78559', '78560', '78562', '78565', '78566', '78567', '78568', '78569', '78570', '78572', '78573', '78574', '78575', '78576', '78577', '78578', '78579', '78580', '78582', '78583', '78584', '78586', '78589', '78592', '78593', '78594', '78595', '78596', '78597', '78598', '78599', '78604', '78629', '78638', '78644', '78648', '78801', '78827', '78828', '78830', '78832', '78833', '78834', '78836', '78837', '78839', '78840', '78841', '78843', '78851', '78852', '78853', '78860', '78870', '78872', '78873', '78877', '78880', '78881', '78933', '78934', '78935', '78943', '78956']"
