
Date Downloaded,State,TDU Service Territory,Zip,Supplier Name,Plan Name,Variable Rate 500kWh,Variable Rate 1000kWh,Variable Rate 2000kWh,Rate Type,Contract Term,Cancellation Fee,Termination Fee Details,Percent Renewable,Fact Sheet Name,Terms of Services Name,URL,Fact Sheet,Terms of Service,Enroll Phone,Additional Fees,Minimum Usage Fee,Renewal Details,Base Charge,Energy Charge,Delivery Charge, Company Rating
12/14/2019,TX,ONCOR ELECTRIC DELIVERY COMPANY,75035,THINK ENERGY,THINK SIMPLE 18 Power to Choose ONLINE EXCLUSIVE,11.7 cents,11.4 cents,11.2 cents,Fixed,18 months,$175.00, ,6%,PDFs/THINK ENERGY-6.pdf,Terms of Services/THINK ENERGY-6.pdf,https://www.mythinkenergy.com/?promo=tx2ss4qd,https://www.mythinkenergy.com/signup/includes/eflptc.php?utility=ONCOR&term=18&ZipCode=78701&promocode=tx2ss4qd,https://www.mythinkenergy.com/signup/PDFTemplates/contract_api/index.php/contract/TC/state/TX/customer_type/RESI/service/Electric/plan_code/FP10,(888) 531-5047, Taxes  and Non-recurring  Charges are not included in the Price and will be passed  through to you . Think Ene rgy  will invoice you directly for charges due for  each  preceding  billing  cycle including the monthly charges for  electricity consumption and any other charges or fees  described in this Agreement plus any Taxes and TDSP  Delivery and Distribution Charges . The average prices shown reflect all recurring charges excluding state and local  sales taxes.  What other fees may I be charged?,  , If you are  a current customer renewing  with Think Energy  your  new fixed -rate will  take effect  on the  first meter read date  following the date your new  renewal  is processed by  Think Energy  or at the end of your current fixed -rate  term whichever is later . We  will  notify you of your renewal options  at least  30 days  or one (1) billing cycle  and  no longer than  60 days  or two  (2)billing cycles  prior to the end of the  fixed -rate  term. The TDSP will notify you of the  final status of your designation as a Critical Care or  Chronic   Condition Residential Customer and will notify  you when such designation will expire and whether you  will receive a renewal notice. ,,,$0,4,
12/14/2019,TX,ONCOR ELECTRIC DELIVERY COMPANY,75035,TXU ENERGY,Simple Value 12,12.9 cents,11.6 cents,10.9 cents,Fixed,12 months,$150.00,$150.00,6%,PDFs/TXU ENERGY-5.pdf,Terms of Services/TXU ENERGY-5.pdf,http://www.txu.com/ptc/simplevalue12,https://www.txu.com/Handlers/PDFGenerator.ashx?comProdId=ONXSIMVL1212AD&lang=en&formType=EnergyFactsLabel&custClass=3&tdsp=ER_ONCOR,https://www.txu.com/~/media/Files/Marketing/Residential/Other-PDFs/TOSA.pdf,(855) 847-6135,   Taxes and other charges for residential customers may be  different than those for business customers.   The average prices disclosed on  your EFL include recurring charges which are  charges that we expect to  bill you on a regular basis.           What are  TDU non recurring fees ?     What non recurring fees  other than  TDU   fees  can I be charged?      Other Fees      If additional fees apply to your product they will be  described in your  EFL.        TXU Energy Express Pay      You can choose to pa y your bill by credit  card debit card or electronic check for no additional charge by calling our  automated telephone service or by visiting  our website .Average prices per kWh listed above do not include facility relocation fees or other charges ordered by a municipality.DisclosureChartWhat other fees may I be charged?,  ,   CONTRACT EXPIRATION NOTICE   If you  are on   product that has a contract term of at least three months we  will send you a written notice at least  30  days  or one billing cycle prior to  the date of contract expiration but no more than 60 days or two billing  cycles in advance of contract expira tion .   The  contract expiration  notice will let you kn ow  what you need to do if you want to renew your  service  to another term or  change your service plan.     I am   on a product with a term longer than 31 days  what happens if I  terminate my Contract  before it expires?   However you  can  contact TXU Energy  to terminate your Contract without penalty if: (1)   you  move to another location   and provide us with evidence of your move and a  forwarding ad dress ;   (2)   we notify you of a change to the terms and  conditions of your Contract and you terminate within 14 days from the date  the notice is sent; or (3)   you terminate your Contract within 14 days of its  expiration date. ,$9.95,€6.4000¢,,5,
12/14/2019,TX,ONCOR ELECTRIC DELIVERY COMPANY,75035,YEP,No Long Term Commitment AutoPay E-Plan,14.7 cents,12.3 cents,12.2 cents,Variable,1 months,$, ,16%,PDFs/YEP-7.pdf,Terms of Services/YEP-7.pdf,https://enroll.yepenergy.com,https://texpo-prod-api.eroms.works/api/v1/document/ViewProductDocument?type=efl&rateCode=YRTXUPROMO&lang=en,https://texpo-prod-api.eroms.works/api/v1/document/ViewProductDocument?type=tos&rateCode=YRTXUPROMO&lang=en,(866) 937-5937,)  Non-Recurring Fee Schedule of the TDSPs :  The table below itemizes the standard non-recurring  fees as charged by your TDSP as of May 23 2017.  We intend that all  non-recurring fees will be disclosed prior to submitting any transactions that would g enerate such non-recurring fees. , The price you will  be charged the first month of yo ur electric service (or during your  first billing period if you elect a self-sel ected switch) will be equal to the base en ergy price set forth in your EFL plus  depending on your plan a Minimum Usage  Fee or Base Charge as applicable will be in addition to your  base commodity rate per kWh and  which if applicable will be s et forth in your EFL for your  applicable plan and product plus charges from the Electric Reli ability Council of Texas (8 No Long Term Commitment AutoPay E-Plan with No Minimum Usage - New Customers Only No Long Term Commitment AutoPay E-Plan with No Minimum Usage - New Customers Only 3 YEP’s Convenience AutoPay E-Plan FKA No Long Term Commitment AutoPay E-Plan - Default YEP’s Convenience AutoPay E-Plan FKA No Long Term Commitment AutoPay E-Plan with No Minimum Usage - Defauli ,) Term & Renewal:  Your service will begin on your next meter read cycle date (you r  If you elected  to authorize monthly payment of your invoices via automatic recu rring (i) withdrawals from your checking or savings accounts o r (ii) charges to your credit card  then YEP may debit your bank account (or charge your credit card ) on or after the third day after the date of the invoice   If you authorized the monthly payment of yo ur invoices via automatic recurring (i) wit hdrawals from your checking or savings ac counts or (ii) charges to your  credit card you also hereby agree and irrevocably grant your expr ess written consent permitting YEP to transfer or assign such  consent and authorization to any  assignee under any assignment permitted under this paragraph.) Consent to Contact Via Text Email Automatic Phone Dial ing and the Use of Pre-Recorded Voice Systems:  To further YEP  ,,,,5,
12/14/2019,TX,ONCOR ELECTRIC DELIVERY COMPANY,75035,ELIGO ENERGY TX LLC,12 Months Fixed,10.5 cents,10.2 cents,10.0 cents,Fixed,12 months,$20 per month remaining,. $20  for each month remaining in the contract .,11%,PDFs/ELIGO ENERGY TX LLC-1.pdf,Terms of Services/ELIGO ENERGY TX LLC-1.pdf,https://eligoenergy.myaccount.energy/sigma/myeaccount/?connectName=SigmaELIGO&process=enroll,https://s3.amazonaws.com/public.eligoenergy.com/11262019/On_12MonthApt_11.25.2019.pdf,https://s3.amazonaws.com/public.eligoenergy.com/01282019/Oncor+TX+Electric+Residential+K+v1.1+(1.28.2019)+.pdf,(888) 576-9473,  This disclosure  reflects the total average price for electric service including all recurring charges based on your fixed  e nergy rate and current pass through estimates for your TDSP.    What other fees may I be  charged?  See   Pricing   section s   of the Terms of Service  Agreement for  additional details regarding  non recurring charges.,  ,  ,,,3.42,-1,
12/14/2019,TX,ONCOR ELECTRIC DELIVERY COMPANY,75035,Discount Power,Select 6,7.8 cents,7.5 cents,7.3 cents,Fixed,6 months,$75.00,Yes. $75. This fee does not apply if the customer moves  and provides a forwarding address and other evidence that  may be requested to verify that the customer moved.,10%,PDFs/Discount Power-4.pdf,Terms of Services/Discount Power-4.pdf,https://www.discountpowertx.com/resources/public/oe/zipcode.jsp?txtPromocode=WQ4133&fromLP=ptc,https://www.discountpowertx.com/files/090175188213391d.pdf,https://www.discountpowertx.com/files/0901751881e74f73.pdf,(855) 265-9153, What other fees may I be charged? Information on other nonrecurring fees is available in the pricing section of your  Terms of Service Is this a pre-pay or pay in advance product? What other fees may I be charged? Information on other nonrecurring fees is available in the pricing section of your  Terms of Service Is this a pre-pay or pay in advance product?,  ,  ,,O,3.3¢,3,
12/14/2019,TX,ONCOR ELECTRIC DELIVERY COMPANY,75035,SOUTHWEST POWER & LIGHT,Texas Saver Fixed Rate Autopay E-Plan,10.4 cents,9.7 cents,9.4 cents,Fixed,36 months,$175.00,Yes $175 unless you move during the Term as setforth in your Terms of Service or unless your serviceis terminated for a reason permitted by your Termsof Service.,16%,PDFs/SOUTHWEST POWER & LIGHT-11.pdf,Terms of Services/SOUTHWEST POWER & LIGHT-11.pdf,https://enroll.southwestpl.com,https://texpo-prod-api.eroms.works/api/v1/document/ViewProductDocument?type=efl&rateCode=SRTXUF36PTC&lang=en,https://texpo-prod-api.eroms.works/api/v1/document/ViewProductDocument?type=tos&rateCode=SRTXUF36PTC&lang=en,(866) 941-7975,  Non-Recurring Fee Schedule of the TDSPs :  The table below itemizes the standard non-recurring fees as charged by your TDSP as of May 23 2017.  We intend that all non-recurring fees  will be disclosed prior to submitting  any transactions that would generate such non-recurring fees.Disclosure ChartWhat other fees may I becharged?,  ,    Term & Renewal:  Your service will begin on your next meter read cycle date (your    Please call or contact us via email or online at  the above information to renew your service once or before your te rm approaches expiration. If you elected to  authorize monthly payment of your invoices via automatic recurring  (i) withdrawals from your checki ng or savings accounts or ( ii) charges to your credit card then  Southwest may debit your bank account (or charge your credit card)  on or after the third day after the date of the invoice  If you authorized the monthly payment of your invoices via automatic  recurring (i) withdrawals from your checking or savings ac counts or (ii) charges to your credit  card you also hereby agree and irrevocably grant your express writt en consent permitting Southwest to transfer or assign such  consent and authorization to any  assignee under any assignment permitted under this paragraph.  Automatic Continuance:  After the expiration of your Agreement   Consent to Contact Via Text Email Automatic Phone Di aling and the Use of Pre-Recorded Voice Systems:   To further Southwest ,,,$3.00,5,
12/14/2019,TX,ONCOR ELECTRIC DELIVERY COMPANY,75035,CONSTELLATION NEWENERGY INC,6 Month Texas Wind,7.7 cents,7.4 cents,7.2 cents,Fixed,6 months,$50.00,S. $50  Yes but only for the very limited reasons described below.,100%,PDFs/CONSTELLATION NEWENERGY INC-6.pdf,Terms of Services/CONSTELLATION NEWENERGY INC-6.pdf,https://www.constellation.com/content/constellation/en/campaigns/powertochoose.html,https://signup.startexpower.constellation.com/Contract/01T9Y.pdf/?language=EN,https://signup.startexpower.constellation.com/Contract/01HPE.pdf/?language=EN,(855) 797-8465,  TOS - O1HPECustomer is responsible for all regulatory charges taxes duties fees levies premiums or any other charges of any kind whether direct or indirect relating to the sale purchase or delivery of electricity together with all interest penalties or other additional amounts imposed including but not limited to gross receipts tax PUCT Assessment sales tax consumption tax use tax value added tax kWh commercial activity or other privilege tax and any other tax (whether in effect as of the effective date of this Agreement or thereafter) imposed by any governmental entity. Additional Charges & Fees:  Constellation will charge a one-time late payment penalty of 5% for each delinquent month’s charges that remain unpaid after the close of business on the bill due date.00 (NOTE: A Minimum Usage Fee of $0 will apply if usage is less than or equal to 999 kWh in a billing period) and (iv) all recurring charges.  What other fees may "  See Additional Charges & Fees section of the Terms of service Agreement for a full listing of non-recurring charges., 00 (NOTE: A Minimum Usage Fee of $0 will apply if usage is less than or equal to 999 kWh in a billing period) and (iv) all recurring charges. This average Price disclosure does not include applicable federal state and local taxes or any fees (including gross receipt tax reimbursement) or other non-recurring amounts charged by Constellation or a governmental entity., Term & Renewal:  This Agreement shall commence on the date of the initial meter reading by the applicable TDU and continue for the period indicated in your Authorization and For term products (non-month to month products) a contract expiration notice will be sent at least thirty (30) days prior to the end of the Initial Term. ,$0.00,3.2¢,,3,
12/14/2019,TX,ONCOR ELECTRIC DELIVERY COMPANY,75035,THINK ENERGY,THINK SIMPLE 12 Power to Choose ONLINE EXCLUSIVE,12.2 cents,11.9 cents,11.7 cents,Fixed,12 months,$110.00, ,6%,PDFs/THINK ENERGY-7.pdf,Terms of Services/THINK ENERGY-7.pdf,https://www.mythinkenergy.com/?promo=tx2ss4qd,https://www.mythinkenergy.com/signup/includes/eflptc.php?utility=ONCOR&term=12&ZipCode=78701&promocode=tx2ss4qd,https://www.mythinkenergy.com/signup/PDFTemplates/contract_api/index.php/contract/TC/state/TX/customer_type/RESI/service/Electric/plan_code/FP10,(888) 531-5047, Taxes  and Non-recurring  Charges are not included in the Price and will be passed  through to you . Think Ene rgy  will invoice you directly for charges due for  each  preceding  billing  cycle including the monthly charges for  electricity consumption and any other charges or fees  described in this Agreement plus any Taxes and TDSP  Delivery and Distribution Charges . The average prices shown reflect all recurring charges excluding state and local  sales taxes.  What other fees may I be charged?,  , If you are  a current customer renewing  with Think Energy  your  new fixed -rate will  take effect  on the  first meter read date  following the date your new  renewal  is processed by  Think Energy  or at the end of your current fixed -rate  term whichever is later . We  will  notify you of your renewal options  at least  30 days  or one (1) billing cycle  and  no longer than  60 days  or two  (2)billing cycles  prior to the end of the  fixed -rate  term. The TDSP will notify you of the  final status of your designation as a Critical Care or  Chronic   Condition Residential Customer and will notify  you when such designation will expire and whether you  will receive a renewal notice. ,,,$0,4,
12/14/2019,TX,ONCOR ELECTRIC DELIVERY COMPANY,75035,ELIGO ENERGY TX LLC,6 Months Fixed,7.5 cents,7.2 cents,7.0 cents,Fixed,6 months,$20 per month remaining,. $20  for each month remaining in the contract .,11%,PDFs/ELIGO ENERGY TX LLC-2.pdf,Terms of Services/ELIGO ENERGY TX LLC-2.pdf,https://eligoenergy.myaccount.energy/sigma/myeaccount/?connectName=SigmaELIGO&process=enroll,https://s3.amazonaws.com/public.eligoenergy.com/11262019/On_6MonthApt_11.25.2019.pdf,https://s3.amazonaws.com/public.eligoenergy.com/01282019/Oncor+TX+Electric+Residential+K+v1.1+(1.28.2019)+.pdf,(888) 576-9473,  This disclosure  reflects the total average price for electric service including all recurring charges based on your fixed  energy rate and current pass through estimates for your TDSP.    What other fees may I be  charged?  See   Pricing   section s   of the Terms of Service  Agreement for  additional details regarding  non recurring charges.,  ,  ,,O,3.42,-1,
12/14/2019,TX,ONCOR ELECTRIC DELIVERY COMPANY,75035,FIRST CHOICE POWER ,You Got This 7,8.9 cents,8.1 cents,7.7 cents,Fixed,7 months,$135.00,Yes $135.00,15%,PDFs/FIRST CHOICE POWER -6.pdf,Terms of Services/FIRST CHOICE POWER -6.pdf,https://www.firstchoicepower.com/texas/electricity-plans/you-got-this-7-ptc/msid/26550/pid/ygt7?utm_source=BD&utm_medium=PTC,https://refer.directenergy.com/ImageServer/Documents/DocumentName?type=EFL&name=FFORXXX1086_ENG_20191204.PDF,https://refer.directenergy.com/ImageServer/Documents/DocumentName?type=TOS&name=FCP_FIXED_TOS_ENG_20191011.pdf,(888) 676-9883, Disclosure  ChartWhat other fees may I be charged?,  ,   Other Key Terms and QuestionsSee Terms of Service document for a listing of fees deposit policy pricing for a default month-to-month renewal product and other terms.,$4.95,3.4¢,$3.42,3,
